Outcome,Feature,Coefficient,AbsoluteCoefficient
A,AwayVenueRollingGoalsFor5,-0.0021418370712058387,0.0021418370712058387
H,AwayVenueRollingGoalsAgainst5,-0.00045219917938856696,0.00045219917938856696
D,AwayVenueRollingGoalsAgainst5,0.0027661414592669254,0.0027661414592669254
A,AwayVenueRollingGoalsAgainst5,-0.002313942279878343,0.002313942279878343
H,AwayVenueRollingGoalDifference5,0.0012001601343387981,0.0012001601343387981
D,AwayVenueRollingGoalDifference5,0.0002314335204409821,0.0002314335204409821
A,AwayVenueRollingGoalDifference5,-0.0014315936547798396,0.0014315936547798396
H,AwayVenueRollingWinRate5,0.04420522696125846,0.04420522696125846
D,AwayVenueRollingWinRate5,-0.01690275549630538,0.01690275549630538
A,AwayVenueRollingWinRate5,-0.027302471464953133,0.027302471464953133
H,HomeRestDays,-0.013549594540084635,0.013549594540084635
D,HomeRestDays,0.02068284806972277,0.02068284806972277
A,HomeRestDays,-0.0071332535296381,0.0071332535296381
H,AwayRestDays,-0.02958795836324713,0.02958795836324713
D,AwayRestDays,0.012416447863740163,0.012416447863740163
A,AwayRestDays,0.017171510499507058,0.017171510499507058
H,HomeShortRest3,0.030376875841550473,0.030376875841550473
D,HomeShortRest3,0.025313460037613762,0.025313460037613762
A,HomeShortRest3,-0.05569033587916426,0.05569033587916426
H,AwayShortRest3,-0.02502618598507395,0.02502618598507395
D,AwayShortRest3,0.03272587901995189,0.03272587901995189
A,AwayShortRest3,-0.007699693034878002,0.007699693034878002
H,HomeMatchesLast7Days,-0.041458595946173404,0.041458595946173404
D,HomeMatchesLast7Days,0.017694810979894757,0.017694810979894757
A,HomeMatchesLast7Days,0.023763784966278623,0.023763784966278623
H,HomeMatchesLast14Days,0.008742233703257034,0.008742233703257034
D,HomeMatchesLast14Days,0.004237904239910436,0.004237904239910436
A,HomeMatchesLast14Days,-0.012980137943167458,0.012980137943167458
H,AwayMatchesLast7Days,-0.015535800903431258,0.015535800903431258
D,AwayMatchesLast7Days,-0.022190105327832145,0.022190105327832145
A,AwayMatchesLast7Days,0.03772590623126338,0.03772590623126338
H,AwayMatchesLast14Days,0.00032761382081899874,0.00032761382081899874
D,AwayMatchesLast14Days,0.008311252885205246,0.008311252885205246
A,AwayMatchesLast14Days,-0.008638866706024248,0.008638866706024248
H,EloDifference,0.18850657118197855,0.18850657118197855
D,EloDifference,0.010272807637683347,0.010272807637683347
A,EloDifference,-0.19877937881966173,0.19877937881966173
H,PointsFormDifference5,-0.015081251265936398,0.015081251265936398
D,PointsFormDifference5,-0.009940877360847512,0.009940877360847512
A,PointsFormDifference5,0.025022128626783924,0.025022128626783924
H,GoalsForFormDifference5,0.017004096922018576,0.017004096922018576
D,GoalsForFormDifference5,-0.00743330082948298,0.00743330082948298
A,GoalsForFormDifference5,-0.009570796092535631,0.009570796092535631
H,GoalsAgainstFormDifference5,-0.028377026579639412,0.028377026579639412
D,GoalsAgainstFormDifference5,0.013012533456433589,0.013012533456433589
A,GoalsAgainstFormDifference5,0.0153644931232058,0.0153644931232058
H,GoalDifferenceFormDifference5,0.027793265049867247,0.027793265049867247
D,GoalDifferenceFormDifference5,-0.012506048065257909,0.012506048065257909
A,GoalDifferenceFormDifference5,-0.015287216984609296,0.015287216984609296
H,WinRateFormDifference5,-0.02094042262353008,0.02094042262353008
D,WinRateFormDifference5,0.013998804940536241,0.013998804940536241
A,WinRateFormDifference5,0.006941617682993869,0.006941617682993869
H,VenuePointsFormDifference5,0.003391406599032881,0.003391406599032881
D,VenuePointsFormDifference5,0.010899174708469963,0.010899174708469963
A,VenuePointsFormDifference5,-0.01429058130750288,0.01429058130750288
H,VenueGoalsForFormDifference5,0.04472141760354977,0.04472141760354977
D,VenueGoalsForFormDifference5,-0.021754222292316164,0.021754222292316164
A,VenueGoalsForFormDifference5,-0.02296719531123364,0.02296719531123364
H,VenueGoalsAgainstFormDifference5,-0.03218325502213915,0.03218325502213915
D,VenueGoalsAgainstFormDifference5,0.03497231482703567,0.03497231482703567
A,VenueGoalsAgainstFormDifference5,-0.0027890598048964793,0.0027890598048964793
