Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn,SelectionFold,SelectionTrainingStart,SelectionTrainingEnd,SelectedHistoricalROI
2021-22,2022-02-13,Burnley,Liverpool,A,0.1217349542942724,0.07173305894458326,13.5,H,0,0.05000189534968914,0.05000189534968914,0.07407407407407407,0.047660880220198334,0.6434218829726774,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-02-13,Leicester,West Ham,D,0.5032420637428459,0.3228042683381837,3.02,H,0,0.18043779540466215,0.18043779540466215,0.33112582781456956,0.1721162359282763,0.5197910325033945,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-02-13,Tottenham,Wolves,A,0.2984940581225204,0.16523542983663206,5.9,A,1,0.13325862828588833,0.13325862828588833,0.1694915254237288,0.12900253269879158,0.7611149429228703,True,4.9,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-02-19,Crystal Palace,Chelsea,A,0.259349975190943,0.15001456521069817,6.49,H,0,0.10933540998024482,0.10933540998024482,0.15408320493066255,0.10526677026028045,0.6831813389892201,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-02-23,Burnley,Tottenham,H,0.3780089944577121,0.20710996682675648,4.71,H,1,0.1708990276309556,0.1708990276309556,0.21231422505307856,0.1656947694046335,0.7804223638958239,True,3.71,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-02-23,Liverpool,Leeds,H,0.1164400994474265,0.06082105390819235,16.0,A,0,0.055619045539234156,0.055619045539234156,0.0625,0.053940099447426504,0.8630415911588241,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-02-26,Everton,Man City,A,0.145066023228205,0.07780979827089336,12.5,H,0,0.06725622495731164,0.06725622495731164,0.08,0.065066023228205,0.8133252903525625,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-03-06,Watford,Arsenal,A,0.2854252388424826,0.14285897581202195,6.84,H,0,0.14256626303046066,0.14256626303046066,0.14619883040935672,0.1392264084331259,0.952308633682581,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-03-10,Southampton,Newcastle,A,0.360141055945855,0.22180751799520126,4.41,A,1,0.13833353795065373,0.13833353795065373,0.22675736961451246,0.13338368633134254,0.5882220567212206,True,3.41,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2022-03-13,Arsenal,Leicester,H,0.218590327129024,0.1231682914953281,7.92,A,0,0.09542203563369589,0.09542203563369589,0.12626262626262627,0.09232770086639772,0.7312353908618701,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
