StrategyNumber,Strategy,Date,OpeningBankroll,Bets,WinningBets,DailyStaked,DailyExposureFraction,DailyProfit,ClosingBankroll,DailyExposureScale,DailyCapBinding,RunningBankrollPeak,DrawdownUnits,DrawdownPercentage
3,Half Kelly,2021-12-19,102.67498073994885,1,0,3.156423014630424,0.03074189049642861,-3.156423014630424,99.51855772531843,1.0,False,117.12254329317693,17.6039855678585,0.1503039899312367
3,Half Kelly,2021-12-26,99.51855772531843,2,0,7.961484618025475,0.08,-7.961484618025475,91.55707310729295,1.0,False,117.12254329317693,25.56547018588398,0.21827967073673782
3,Half Kelly,2021-12-28,91.55707310729295,1,1,3.662282924291718,0.04,26.62479685960079,118.18186996689374,1.0,False,118.18186996689374,0.0,0.0
3,Half Kelly,2022-01-23,118.18186996689374,1,0,4.72727479867575,0.04,-4.72727479867575,113.45459516821799,1.0,False,118.18186996689374,4.727274798675751,0.04000000000000001
3,Half Kelly,2022-02-08,113.45459516821799,1,0,4.5381838067287195,0.04,-4.5381838067287195,108.91641136148927,1.0,False,118.18186996689374,9.265458605404476,0.07840000000000005
3,Half Kelly,2022-02-09,108.91641136148927,1,1,4.3566564544595705,0.04,23.569511418626277,132.48592278011554,1.0,False,132.48592278011554,0.0,0.0
3,Half Kelly,2022-02-10,132.48592278011554,1,0,2.6711358545942963,0.020161657922159258,-2.6711358545942963,129.81478692552125,1.0,False,132.48592278011554,2.671135854594297,0.020161657922159265
3,Half Kelly,2022-02-12,129.81478692552125,1,0,5.19259147702085,0.04,-5.19259147702085,124.62219544850039,1.0,False,132.48592278011554,7.863727331615152,0.05935519160527293
3,Half Kelly,2022-02-13,124.62219544850039,3,1,13.177161542106557,0.10573687531890709,16.233676583739538,140.85587203223992,1.0,False,140.85587203223992,0.0,0.0
3,Half Kelly,2022-02-19,140.85587203223992,1,0,5.634234881289597,0.04,-5.634234881289597,135.22163715095033,1.0,False,140.85587203223992,5.634234881289586,0.039999999999999925
3,Half Kelly,2022-02-23,135.22163715095033,2,1,9.298928715566591,0.06876805303862747,16.17682772367245,151.3984648746228,1.0,False,151.3984648746228,0.0,0.0
3,Half Kelly,2022-02-26,151.3984648746228,1,0,5.353747843612384,0.03536196914576359,-5.353747843612384,146.0447170310104,1.0,False,151.3984648746228,5.353747843612382,0.03536196914576358
3,Half Kelly,2022-03-06,146.0447170310104,1,0,5.841788681240416,0.04,-5.841788681240416,140.20292834977,1.0,False,151.3984648746228,11.195536524852798,0.07394749037993303
3,Half Kelly,2022-03-10,140.20292834977,1,1,5.6081171339908,0.04,19.123679426908627,159.32660777667863,1.0,False,159.32660777667863,0.0,0.0
3,Half Kelly,2022-03-13,159.32660777667863,1,0,6.373064311067146,0.04,-6.373064311067146,152.9535434656115,1.0,False,159.32660777667863,6.373064311067139,0.039999999999999966
3,Half Kelly,2022-03-14,152.9535434656115,1,0,4.975040286481303,0.032526479437855194,-4.975040286481303,147.9785031791302,1.0,False,159.32660777667863,11.348104597548428,0.07122542026034086
3,Half Kelly,2022-04-02,147.9785031791302,1,0,4.790517756253914,0.032373065366493946,-4.790517756253914,143.1879854228763,1.0,False,159.32660777667863,16.138622353802333,0.10129270044099073
3,Half Kelly,2022-04-04,143.1879854228763,1,1,5.727519416915052,0.04,18.041686163282414,161.2296715861587,1.0,False,161.2296715861587,0.0,0.0
3,Half Kelly,2022-04-08,161.2296715861587,1,0,6.449186863446348,0.04,-6.449186863446348,154.78048472271234,1.0,False,161.2296715861587,6.449186863446357,0.040000000000000056
3,Half Kelly,2022-04-17,154.78048472271234,1,0,6.191219388908494,0.04,-6.191219388908494,148.58926533380384,1.0,False,161.2296715861587,12.640406252354865,0.07840000000000014
3,Half Kelly,2022-04-20,148.58926533380384,3,0,17.83071184005646,0.12,-17.83071184005646,130.75855349374737,1.0,False,161.2296715861587,30.47111809241133,0.18899200000000016
3,Half Kelly,2022-04-23,130.75855349374737,1,0,5.230342139749895,0.04,-5.230342139749895,125.52821135399748,1.0,False,161.2296715861587,35.701460232161224,0.22143232000000015
3,Half Kelly,2022-05-01,125.52821135399748,2,0,10.042256908319798,0.08,-10.042256908319798,115.48595444567768,1.0,False,161.2296715861587,45.743717140481024,0.28371773440000014
3,Half Kelly,2022-05-11,115.48595444567768,2,0,9.238876355654215,0.08,-9.238876355654215,106.24707809002346,1.0,False,161.2296715861587,54.98259349613524,0.3410203156480001
3,Half Kelly,2022-05-15,106.24707809002346,1,1,4.249883123600939,0.04,14.109611970355118,120.35669006037858,1.0,False,161.2296715861587,40.87298152578012,0.2535078135660545
3,Half Kelly,2022-05-19,120.35669006037858,1,0,4.814267602415144,0.04,-4.814267602415144,115.54242245796344,1.0,False,161.2296715861587,45.68724912819526,0.28336750102341235
3,Half Kelly,2022-05-22,115.54242245796344,1,0,4.621696898318538,0.04,-4.621696898318538,110.92072555964491,1.0,False,161.2296715861587,50.308946026513794,0.3120328009824758
3,Half Kelly,2022-08-06,110.92072555964491,2,0,8.873658044771593,0.08,-8.873658044771593,102.04706751487332,1.0,False,161.2296715861587,59.18260407128538,0.3670701769038777
3,Half Kelly,2022-08-13,102.04706751487332,2,0,6.679733649398957,0.06545737973730004,-6.679733649398957,95.36733386547436,1.0,False,161.2296715861587,65.86233772068434,0.40850010468134274
3,Half Kelly,2022-08-14,95.36733386547436,1,1,3.8146933546189747,0.04,11.558520864495494,106.92585472996986,1.0,False,161.2296715861587,54.303816856188845,0.33681031736872147
3,Half Kelly,2022-08-20,106.92585472996986,2,0,8.554068378397588,0.07999999999999999,-8.554068378397588,98.37178635157227,1.0,False,161.2296715861587,62.85788523458643,0.38986549197922377
3,Half Kelly,2022-08-21,98.37178635157227,1,1,3.9348714540628906,0.04,20.225239273883258,118.59702562545553,1.0,False,161.2296715861587,42.63264596070317,0.2644218371301521
3,Half Kelly,2022-08-27,118.59702562545553,2,0,6.817267556527644,0.05748261830829924,-6.817267556527644,111.77975806892789,1.0,False,161.2296715861587,49.44991351723081,0.3067047959023195
3,Half Kelly,2022-08-28,111.77975806892789,1,0,4.471190322757116,0.04000000000000001,-4.471190322757116,107.30856774617078,1.0,False,161.2296715861587,53.92110383998792,0.3344366040662267
3,Half Kelly,2022-08-31,107.30856774617078,2,0,5.654886542733255,0.052697437506662136,-5.654886542733255,101.65368120343753,1.0,False,161.2296715861587,59.57599038272117,0.36951008953016856
3,Half Kelly,2022-09-03,101.65368120343753,1,0,4.066147248137502,0.04000000000000001,-4.066147248137502,97.58753395530003,1.0,False,161.2296715861587,63.64213763085867,0.3947296859489618
3,Half Kelly,2022-10-18,97.58753395530003,1,0,3.9035013582120013,0.04,-3.9035013582120013,93.68403259708803,1.0,False,161.2296715861587,67.54563898907067,0.4189404985110033
3,Half Kelly,2022-10-24,93.68403259708803,1,0,3.7473613038835216,0.04,-3.7473613038835216,89.93667129320451,1.0,False,161.2296715861587,71.29300029295419,0.44218287857056315
3,Half Kelly,2022-11-05,89.93667129320451,1,0,3.5974668517281807,0.04,-3.5974668517281807,86.33920444147633,1.0,False,161.2296715861587,74.89046714468238,0.4644955634277407
3,Half Kelly,2022-11-06,86.33920444147633,1,0,3.453568177659053,0.04,-3.453568177659053,82.88563626381728,1.0,False,161.2296715861587,78.34403532234143,0.485915740890631
3,Half Kelly,2022-11-12,82.88563626381728,1,1,3.315425450552691,0.04,10.045739115174655,92.93137537899193,1.0,False,161.2296715861587,68.29829620716677,0.4236087286865755
3,Half Kelly,2023-01-03,92.93137537899193,1,0,2.896274780749609,0.03116573674862818,-2.896274780749609,90.03510059824232,1.0,False,161.2296715861587,71.19457098791638,0.4415723873125368
3,Half Kelly,2023-02-11,90.03510059824232,2,0,7.202808047859386,0.08,-7.202808047859386,82.83229255038293,1.0,False,161.2296715861587,78.39737903577577,0.48624659632753386
3,Half Kelly,2023-02-25,82.83229255038293,2,0,6.626583404030635,0.08,-6.626583404030635,76.20570914635229,1.0,False,161.2296715861587,85.02396243980641,0.5273468686213312
3,Half Kelly,2023-02-26,76.20570914635229,1,1,3.048228365854092,0.04,6.218385866342348,82.42409501269464,1.0,False,161.2296715861587,78.80557657346407,0.48877837310083183
3,Half Kelly,2023-03-05,82.42409501269464,1,0,3.2969638005077857,0.04,-3.2969638005077857,79.12713121218685,1.0,False,161.2296715861587,82.10254037397185,0.5092272381767986
3,Half Kelly,2023-03-11,79.12713121218685,1,0,3.165085248487474,0.04,-3.165085248487474,75.96204596369938,1.0,False,161.2296715861587,85.26762562245932,0.5288581486497266
