Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,ModelPredictedOutcome,ModelProbability_H,ModelProbability_D,ModelProbability_A,MarketRecordedOutcome,MarketOdds_H,MarketOdds_D,MarketOdds_A,RawImpliedProbability_H,RawImpliedProbability_D,RawImpliedProbability_A,RawImpliedProbabilityTotal,MarketOverround,MarketProbability_H,MarketProbability_D,MarketProbability_A,MarketPredictedOutcome,ModelObservedOutcomeProbability,MarketObservedOutcomeProbability,ModelFixtureLogLoss,MarketFixtureLogLoss,ModelMinusMarketFixtureLoss
2020-21,2020-09-20,Chelsea,Liverpool,1,2020-21,Independent Poisson,A,A,0.3488830661828082,0.2387973316827625,0.4123196021344292,A,3.32,3.89,2.17,0.30120481927710846,0.2570694087403599,0.4608294930875576,1.019103721105026,0.019103721105026006,0.29555855114581325,0.2522504858108226,0.45219096304336404,A,0.4123196021344292,0.45219096304336404,0.8859564970222099,0.7936507037621869,0.09230579326002297
2020-21,2020-09-20,Leicester,Burnley,1,2020-21,Independent Poisson,H,H,0.5041188539406436,0.2304751176836194,0.265406028375737,H,1.55,4.36,6.74,0.6451612903225806,0.2293577981651376,0.14836795252225518,1.0228870410099733,0.022887041009973297,0.6307258421082003,0.22422593010727304,0.14504822778452678,H,0.5041188539406436,0.6307258421082003,0.6849432174014423,0.46088399245889045,0.22405922494255182
2020-21,2020-09-20,Newcastle,Brighton,1,2020-21,Independent Poisson,A,H,0.475362565624765,0.2611545568833863,0.2634828774918484,A,2.7,3.21,2.96,0.37037037037037035,0.3115264797507788,0.33783783783783783,1.0197346879589868,0.019734687958986807,0.3632026788376414,0.3054975803307264,0.3312997408316324,H,0.2634828774918484,0.3312997408316324,1.3337668941676841,1.1047317519535853,0.22903514221409882
2020-21,2020-09-20,Southampton,Tottenham,1,2020-21,Independent Poisson,A,A,0.3213541041990272,0.2505949824599399,0.4280509133410328,A,3.45,3.46,2.27,0.2898550724637681,0.28901734104046245,0.44052863436123346,1.019401047865464,0.01940104786546404,0.28433860556716034,0.28351681768979864,0.432144576743041,A,0.4280509133410328,0.432144576743041,0.8485131340708101,0.8389950783403307,0.009518055730479369
2020-21,2020-09-21,Aston Villa,Sheffield United,1,2020-21,Independent Poisson,H,A,0.2693465754901546,0.2744937262105704,0.4561596982992749,H,2.46,3.19,3.35,0.4065040650406504,0.31347962382445144,0.29850746268656714,1.018491151551669,0.018491151551669027,0.3991238062513772,0.3077882643819398,0.29308792936668293,H,0.2693465754901546,0.3991238062513772,1.311756343913939,0.9184836188658455,0.3932727250480935
2020-21,2020-09-21,Wolves,Man City,1,2020-21,Independent Poisson,A,A,0.2800577178217418,0.2248984884428978,0.4950437937353602,A,6.7,4.55,1.53,0.14925373134328357,0.21978021978021978,0.6535947712418301,1.0226287223653334,0.02262872236533342,0.14595104565228784,0.2149169243671052,0.6391320299806069,A,0.4950437937353602,0.6391320299806069,0.7031090481342335,0.44764422625954936,0.2554648218746841
2020-21,2020-09-26,Brighton,Man United,1,2020-21,Independent Poisson,A,A,0.2434001073498566,0.2352188995950873,0.5213809930550559,A,5.58,4.36,1.63,0.17921146953405018,0.2293577981651376,0.6134969325153374,1.022066200214525,0.0220662002145251,0.17534233056179221,0.2244060102144038,0.6002516592238041,A,0.5213809930550559,0.6002516592238041,0.6512742318198838,0.510406279663347,0.1408679521565368
2020-21,2020-09-26,Burnley,Southampton,1,2020-21,Independent Poisson,A,H,0.4380859892551758,0.2874383190260621,0.2744756917187618,A,3.37,3.47,2.3,0.29673590504451036,0.2881844380403458,0.4347826086956522,1.0197029517805083,0.019702951780508293,0.2910023007449163,0.2826160672940542,0.42638163196102963,A,0.2744756917187618,0.42638163196102963,1.292892576712365,0.8524204840728143,0.44047209263955056
2020-21,2020-09-26,Crystal Palace,Everton,1,2020-21,Independent Poisson,A,A,0.3148826759477547,0.2543043645936527,0.4308129594585925,A,3.58,3.34,2.27,0.27932960893854747,0.29940119760479045,0.44052863436123346,1.0192594409045714,0.019259440904571434,0.2740515296975305,0.29374385518477825,0.43220461511769126,A,0.4308129594585925,0.43220461511769126,0.8420812518436566,0.83885615676717,0.003225095076486606
2020-21,2020-09-26,West Brom,Chelsea,1,2020-21,Independent Poisson,D,A,0.1473783209454419,0.1918146498170081,0.6608070292375499,D,6.96,5.03,1.47,0.14367816091954022,0.19880715705765406,0.6802721088435374,1.0227574268207316,0.022757426820731563,0.14048117095191143,0.19438348903087543,0.6651353400172133,A,0.1918146498170081,0.19438348903087543,1.6512257387561828,1.637922323531555,0.013303415224627857
