StrategyNumber,Strategy,Date,Season,HomeTeam,AwayTeam,Outcome,ActualOutcome,DecimalOdds,ModelProbability,FullKellyFraction,FractionalKellyBeforeCap,FractionalKellyAfterPerBetCap,DailyExposureScale,AppliedStakeFraction,OpeningBankroll,Stake,OutcomeOccurred,RealisedUnitReturn,RealisedProfit,PerBetCapBinding,DailyCapBinding
3,Half Kelly,2021-11-21,2021-22,Tottenham,Leeds,A,H,6.01,0.3232289811918416,0.18814494550159044,0.09407247275079522,0.04,1.0,0.04,117.12254329317693,4.684901731727077,0,-1.0,-4.684901731727077,True,False
3,Half Kelly,2021-11-28,2021-22,Man City,West Ham,A,H,11.0,0.1542201831501845,0.06964220146520295,0.03482110073260147,0.03482110073260147,1.0,0.03482110073260147,112.43764156144985,3.915202442947383,0,-1.0,-3.915202442947383,False,False
3,Half Kelly,2021-12-01,2021-22,Southampton,Leicester,A,D,3.02,0.5510443647198479,0.3287890997296735,0.16439454986483676,0.04,1.0,0.04,108.52243911850246,4.340897564740098,0,-1.0,-4.340897564740098,True,False
3,Half Kelly,2021-12-01,2021-22,Wolves,Burnley,A,D,4.94,0.3037997399825943,0.12709916637411572,0.06354958318705786,0.04,1.0,0.04,108.52243911850246,4.340897564740098,0,-1.0,-4.340897564740098,True,False
3,Half Kelly,2021-12-02,2021-22,Tottenham,Brentford,A,H,5.44,0.3055417308689658,0.14913221079440855,0.07456610539720428,0.04,1.0,0.04,99.84064398902227,3.993625759560891,0,-1.0,-3.993625759560891,True,False
3,Half Kelly,2021-12-04,2021-22,West Ham,Chelsea,H,H,4.92,0.3366063049850156,0.1673732195220094,0.0836866097610047,0.04,1.0,0.04,95.84701822946138,3.8338807291784556,1,3.92,15.028812458379546,True,False
3,Half Kelly,2021-12-05,2021-22,Leeds,Brentford,A,D,4.94,0.4574312777617197,0.31972348023931363,0.15986174011965681,0.04,1.0,0.04,110.87583068784093,4.435033227513637,0,-1.0,-4.435033227513637,True,False
3,Half Kelly,2021-12-11,2021-22,Man City,Wolves,A,H,21.0,0.0841119291165897,0.03831752557241919,0.019158762786209593,0.019158762786209593,1.0,0.019158762786209593,106.44079746032729,2.0392739893173912,0,-1.0,-2.0392739893173912,False,False
3,Half Kelly,2021-12-14,2021-22,Man City,Leeds,A,H,20.0,0.0814212961645803,0.033075048594295046,0.016537524297147523,0.016537524297147523,1.0,0.016537524297147523,104.4015234710099,1.7265427310610435,0,-1.0,-1.7265427310610435,False,False
3,Half Kelly,2021-12-19,2021-22,Newcastle,Man City,H,A,23.5,0.1014206413761399,0.06148378099285722,0.03074189049642861,0.03074189049642861,1.0,0.03074189049642861,102.67498073994885,3.156423014630424,0,-1.0,-3.156423014630424,False,False
3,Half Kelly,2021-12-26,2021-22,Brighton,Brentford,A,H,4.42,0.3583706409765432,0.17075971728547396,0.08537985864273698,0.04,1.0,0.04,99.51855772531843,3.9807423090127374,0,-1.0,-3.9807423090127374,True,False
3,Half Kelly,2021-12-26,2021-22,Man City,Leicester,A,H,21.0,0.1354431439034373,0.09221530109860918,0.04610765054930459,0.04,1.0,0.04,99.51855772531843,3.9807423090127374,0,-1.0,-3.9807423090127374,True,False
