BootstrapIteration,SampledBets,BootstrapProfit,BootstrapROI
69,172,23.61,0.1372674418604651
70,178,-17.859999999999996,-0.10033707865168537
71,180,29.910000000000007,0.1661666666666667
72,191,13.89,0.07272251308900524
73,178,17.58,0.09876404494382021
74,191,-49.50000000000001,-0.2591623036649215
75,188,48.75,0.25930851063829785
76,170,34.23999999999999,0.2014117647058823
77,197,49.779999999999994,0.2526903553299492
78,182,17.97,0.09873626373626374
79,173,38.24000000000001,0.22104046242774572
80,184,-3.2699999999999996,-0.01777173913043478
81,177,0.5000000000000062,0.002824858757062182
82,180,-10.469999999999999,-0.05816666666666666
83,171,-53.39,-0.31222222222222223
84,172,46.96,0.2730232558139535
85,178,-2.1400000000000015,-0.012022471910112367
86,184,-42.029999999999994,-0.22842391304347823
87,194,29.949999999999996,0.15438144329896905
88,183,-1.519999999999996,-0.008306010928961726
89,177,12.729999999999999,0.07192090395480225
90,171,25.609999999999992,0.149766081871345
91,180,25.56999999999999,0.1420555555555555
92,201,48.89,0.24323383084577116
93,180,5.740000000000002,0.0318888888888889
94,199,36.81999999999999,0.18502512562814066
95,170,-17.310000000000002,-0.10182352941176472
96,178,19.019999999999996,0.10685393258426965
97,180,-5.040000000000001,-0.028000000000000004
98,177,43.34000000000001,0.24485875706214696
99,178,-43.49999999999999,-0.24438202247191007
100,182,-14.330000000000002,-0.07873626373626375
101,176,8.049999999999999,0.045738636363636356
102,189,51.970000000000006,0.274973544973545
103,175,2.240000000000002,0.012800000000000011
104,188,29.220000000000002,0.15542553191489364
105,178,-2.9800000000000013,-0.016741573033707872
106,169,-24.310000000000002,-0.14384615384615385
107,168,-46.48,-0.27666666666666667
108,199,34.68000000000001,0.17427135678391964
109,182,19.54,0.10736263736263736
110,168,-36.02000000000001,-0.21440476190476196
111,171,-22.570000000000004,-0.13198830409356727
112,172,-43.29,-0.2516860465116279
113,170,42.19,0.24817647058823528
114,184,39.890000000000015,0.21679347826086964
115,178,17.529999999999998,0.09848314606741572
116,181,73.0,0.40331491712707185
117,180,10.819999999999995,0.06011111111111108
118,185,-0.3100000000000023,-0.0016756756756756879
119,178,11.490000000000002,0.06455056179775281
120,186,35.36,0.19010752688172042
121,180,8.239999999999998,0.04577777777777777
122,174,22.070000000000004,0.12683908045977013
123,178,15.91,0.08938202247191011
124,179,-22.860000000000003,-0.12770949720670394
125,183,74.16999999999999,0.4053005464480874
126,182,17.240000000000006,0.09472527472527476
127,171,37.52,0.2194152046783626
128,174,-23.79,-0.13672413793103447
129,178,65.58,0.36842696629213484
130,178,38.06,0.21382022471910114
131,183,-28.760000000000005,-0.1571584699453552
132,167,38.53,0.2307185628742515
133,192,22.94,0.11947916666666668
134,165,-13.140000000000004,-0.07963636363636366
135,175,80.3,0.45885714285714285
136,191,-15.640000000000004,-0.08188481675392673
137,173,-11.11,-0.06421965317919075
138,185,13.299999999999999,0.07189189189189188
139,177,-17.24,-0.09740112994350282
140,175,17.729999999999997,0.10131428571428569
141,180,-19.24,-0.10688888888888888
142,180,-10.380000000000004,-0.05766666666666669
143,173,-53.39000000000001,-0.30861271676300583
144,183,-21.66,-0.11836065573770492
145,188,-4.830000000000002,-0.02569148936170214
146,165,-8.630000000000003,-0.052303030303030316
147,188,-41.989999999999995,-0.2233510638297872
148,178,48.279999999999994,0.27123595505617976
149,172,9.39,0.05459302325581396
150,165,7.530000000000003,0.045636363636363655
151,183,36.08,0.19715846994535519
152,183,52.21999999999999,0.28535519125683056
153,174,19.269999999999996,0.11074712643678158
154,184,36.0,0.1956521739130435
155,174,27.5,0.15804597701149425
156,174,39.46,0.2267816091954023
157,169,20.419999999999995,0.12082840236686387
158,185,-54.68000000000001,-0.2955675675675676
159,189,65.85,0.3484126984126984
160,168,-19.000000000000007,-0.11309523809523814
161,185,-33.730000000000004,-0.18232432432432435
162,185,7.250000000000002,0.0391891891891892
163,190,3.809999999999998,0.020052631578947357
164,168,14.5,0.08630952380952381
165,172,-20.71,-0.12040697674418605
166,173,-12.110000000000003,-0.07000000000000002
167,185,11.86,0.0641081081081081
168,170,26.419999999999995,0.15541176470588233
169,171,20.189999999999994,0.11807017543859645
170,184,42.42,0.23054347826086957
171,174,-21.33,-0.12258620689655171
172,176,27.43,0.15585227272727273
173,192,24.46999999999999,0.12744791666666663
174,178,-7.090000000000003,-0.03983146067415732
175,190,22.12,0.11642105263157895
176,177,12.829999999999998,0.07248587570621468
177,178,-15.84,-0.08898876404494382
178,179,-28.519999999999996,-0.15932960893854747
179,171,33.28,0.1946198830409357
180,192,103.39000000000001,0.5384895833333334
181,174,17.270000000000003,0.09925287356321841
182,177,30.300000000000004,0.17118644067796612
183,188,35.46999999999999,0.1886702127659574
184,177,14.269999999999996,0.08062146892655365
185,181,49.4,0.2729281767955801
186,191,53.91,0.2822513089005235
187,188,6.829999999999995,0.036329787234042524
188,188,31.929999999999993,0.16984042553191486
189,192,8.44,0.04395833333333333
190,205,-9.469999999999999,-0.046195121951219505
191,181,72.22,0.39900552486187846
192,198,90.08,0.45494949494949494
193,193,-0.5300000000000011,-0.0027461139896373114
194,179,40.38000000000001,0.225586592178771
195,185,9.099999999999998,0.04918918918918918
196,173,1.7400000000000029,0.010057803468208108
197,170,-4.810000000000006,-0.02829411764705886
198,178,26.560000000000006,0.14921348314606744
199,175,-7.6,-0.04342857142857143
200,175,-28.07,-0.16040000000000001
201,181,13.149999999999999,0.07265193370165746
202,176,-36.150000000000006,-0.20539772727272732
203,173,32.68000000000001,0.1889017341040463
204,174,12.100000000000005,0.0695402298850575
205,180,5.93,0.03294444444444444
206,188,5.859999999999999,0.031170212765957443
207,178,23.280000000000005,0.1307865168539326
208,182,34.760000000000005,0.19098901098901103
209,180,34.48,0.19155555555555553
210,185,-3.460000000000001,-0.018702702702702707
211,178,8.910000000000004,0.05005617977528092
212,176,-25.379999999999995,-0.14420454545454542
213,166,-1.1199999999999992,-0.0067469879518072245
214,180,-4.199999999999992,-0.02333333333333329
215,181,36.269999999999996,0.2003867403314917
216,172,14.839999999999995,0.08627906976744183
217,182,-13.290000000000003,-0.07302197802197803
218,193,12.709999999999997,0.06585492227979273
219,181,15.239999999999995,0.08419889502762429
220,176,-14.71,-0.08357954545454546
221,173,-13.86,-0.08011560693641619
222,178,91.94,0.5165168539325843
223,188,31.49,0.16749999999999998
224,186,-34.519999999999996,-0.18559139784946235
225,176,21.179999999999996,0.12034090909090907
226,166,23.11,0.13921686746987952
227,167,-62.49,-0.37419161676646706
228,170,17.84,0.10494117647058823
229,183,13.789999999999996,0.07535519125683057
230,186,12.580000000000005,0.06763440860215057
231,181,-38.16999999999999,-0.2108839779005524
232,163,49.83999999999999,0.3057668711656441
233,178,47.540000000000006,0.2670786516853933
234,182,29.04,0.15956043956043955
235,190,31.369999999999997,0.16510526315789473
236,181,33.309999999999995,0.1840331491712707
237,167,-11.650000000000004,-0.06976047904191619
238,184,88.25,0.4796195652173913
239,179,-17.770000000000003,-0.0992737430167598
240,176,52.08,0.2959090909090909
241,188,31.14,0.16563829787234044
242,180,38.14999999999999,0.2119444444444444
243,177,12.850000000000005,0.0725988700564972
244,184,0.8399999999999999,0.004565217391304347
245,173,-28.760000000000005,-0.16624277456647402
246,170,-30.230000000000004,-0.17782352941176474
