Season,Date,HomeTeam,AwayTeam,PSH,PSD,PSA,PSCH,PSCD,PSCA,EarlierOverround,ClosingOverround,EarlierMargin,ClosingMargin,EarlierNoVigProbability_H,ClosingNoVigProbability_H,EarlierNoVigProbability_D,ClosingNoVigProbability_D,EarlierNoVigProbability_A,ClosingNoVigProbability_A
2022-23,2022-10-18,Brighton,Nott'm Forest,1.39,5.17,8.97,1.41,5.08,8.53,1.024330778288944,1.0233035461123843,0.02433077828894392,0.023303546112384277,0.7023360770564672,0.6930688951977289,0.1888292354175028,0.19236754768283418,0.10883468752603001,0.11456355711943703
2022-23,2022-10-18,Crystal Palace,Wolves,2.32,3.21,3.58,2.13,3.39,3.89,1.021890571447947,1.0215382275529405,0.021890571447946927,0.021538227552940548,0.42180101744932946,0.4595849234147106,0.3048530718013845,0.2887657483402164,0.2733459107492861,0.25164932824507286
2022-23,2022-10-19,Bournemouth,Southampton,2.76,3.4,2.74,2.71,3.3,2.86,1.0213999912881688,1.021684342717553,0.02139999128816883,0.02168434271755304,0.3547276714999391,0.36117191446371444,0.28795540392347996,0.2965987539989897,0.35731692457658093,0.3422293315372959
2022-23,2022-10-19,Brentford,Chelsea,4.85,3.93,1.78,4.49,3.72,1.88,1.0224362460279495,1.0234492471385865,0.02243624602794947,0.023449247138586538,0.20166105007653745,0.21761425868764311,0.24886923482727905,0.26265807029771976,0.5494697150961835,0.519727671014637
2022-23,2022-10-19,Liverpool,West Ham,1.45,5.1,7.08,1.44,5.05,7.4,1.0269765416394494,1.0275993815597775,0.026976541639449403,0.02759938155977748,0.6715393628298835,0.6757929762378386,0.19092785805947668,0.1927013635212847,0.13753277911063996,0.1315056602408767
2022-23,2022-10-19,Man United,Tottenham,2.49,3.59,2.93,2.43,3.55,3.05,1.0214548860638824,1.0210816270489427,0.02145488606388235,0.021081627048942675,0.393170986973667,0.4030261860006328,0.27270076812379695,0.2758742625300106,0.3341282449025361,0.32109955146935665
2022-23,2022-10-19,Newcastle,Everton,1.65,4.06,5.81,1.66,4.06,5.74,1.024483064366737,1.0229310851479931,0.024483064366737084,0.022931085147993135,0.5915769885715289,0.5889053987122338,0.24041921949335535,0.2407839807542631,0.16800379193511578,0.17031062053350313
2022-23,2022-10-20,Fulham,Aston Villa,2.94,3.47,2.54,3.03,3.47,2.47,1.0220212798636892,1.0230757409358175,0.02202127986368918,0.023075740935817546,0.3328072136297729,0.32258902258638794,0.2819749879168681,0.2816843626618892,0.38521779845335913,0.3957266147517229
2022-23,2022-10-20,Leicester,Leeds,2.36,3.65,3.08,2.37,3.64,3.05,1.0223767409743727,1.0245350554543333,0.0223767409743727,0.02453505545433332,0.41445466879018467,0.4118364969785549,0.26797616940954405,0.268146290615158,0.31756916180027134,0.320017212406287
2022-23,2022-10-22,Chelsea,Man United,2.15,3.54,3.64,2.17,3.65,3.62,1.0223274295012568,1.0110451897499355,0.022327429501256768,0.011045189749935513,0.4549582312358329,0.45579514917778874,0.27631643987487026,0.27097958183994564,0.2687253288892969,0.2732252689822657
2022-23,2022-10-22,Everton,Crystal Palace,2.69,3.19,2.97,2.54,3.18,3.18,1.0219271724206989,1.0226316050116375,0.02192717242069886,0.022631605011637523,0.36377074798327497,0.38498789346246975,0.3067533893652068,0.3075060532687652,0.32947586265151835,0.3075060532687652
2022-23,2022-10-22,Man City,Brighton,1.21,7.21,15.39,1.23,7.25,14.0,1.0301197941525593,1.0223677359926309,0.030119794152559276,0.022367735992630866,0.8022817207115428,0.7952208402702967,0.13464089903758208,0.1349133287630986,0.06307738025087503,0.06986583096660463
2022-23,2022-10-22,Nott'm Forest,Liverpool,11.14,5.8,1.3,9.5,5.5,1.36,1.0314111691564796,1.0223754573599775,0.03141116915647957,0.02237545735997748,0.08703280467253043,0.10295939435650378,0.1671630075951705,0.17783895388850654,0.7458041877322991,0.7192016517549896
2022-23,2022-10-23,Aston Villa,Brentford,2.23,3.46,3.51,2.08,3.57,3.81,1.02234811921429,1.0233484671882078,0.02234811921429003,0.023348467188207822,0.43862798282269744,0.46980011812614625,0.2826995380620275,0.2737210772275586,0.278672479115275,0.2564788046462951
2022-23,2022-10-23,Leeds,Fulham,2.06,3.69,3.75,2.1,3.81,3.51,1.0231062698976505,1.0235579526918108,0.023106269897650522,0.023557952691810824,0.47447357863660206,0.4652305958232882,0.2648822688323578,0.2564263126585053,0.26064415253104006,0.27834309151820663
2022-23,2022-10-23,Southampton,Arsenal,6.2,4.31,1.58,7.07,4.79,1.48,1.0262202764706272,1.025886658599199,0.02622027647062719,0.02588665859919903,0.15716930007985636,0.13787362815817777,0.2260904084675428,0.20350032381593255,0.6167402914526008,0.6586260480258898
2022-23,2022-10-23,Tottenham,Newcastle,2.12,3.62,3.63,2.25,3.52,3.41,1.023423300794111,1.021790485500163,0.023423300794110924,0.021790485500162937,0.4609022609134848,0.43496631721608797,0.2699206610874552,0.2780324470841472,0.26917707799906,0.28700123569976477
2022-23,2022-10-23,Wolves,Leicester,2.3,3.35,3.46,2.41,3.43,3.18,1.0223074124226819,1.020948357645504,0.02230741242268186,0.020948357645504068,0.42529536948704777,0.40642384722869124,0.29199383576722676,0.2855631113181183,0.2827107947457254,0.30801304145319053
2022-23,2022-10-24,West Ham,Bournemouth,1.59,4.12,6.53,1.62,4.08,6.12,1.024788621026706,1.0257806826434277,0.024788621026706092,0.0257806826434277,0.6137176044948228,0.6017699115044247,0.23684732794824473,0.23893805309734514,0.14943506755693234,0.1592920353982301
2022-23,2022-10-29,Bournemouth,Tottenham,5.41,3.85,1.72,5.18,3.79,1.75,1.0259784921264523,1.0283310072228278,0.025978492126452313,0.028331007222827775,0.18016253261398915,0.18773156862356602,0.2531634549199172,0.2565829882506786,0.5666740124660937,0.5556854431257554
2022-23,2022-10-29,Brentford,Wolves,2.24,3.5,3.44,2.2,3.55,3.49,1.0228405315614617,1.0227685466799232,0.022840531561461708,0.02276854667992323,0.43645960211124646,0.4444265088332885,0.2793341453511977,0.27541924491077036,0.2842062525375559,0.28015424625594115
2022-23,2022-10-29,Brighton,Chelsea,3.17,3.43,2.41,3.17,3.37,2.44,1.0219403620896839,1.0220293838674923,0.021940362089683862,0.022029383867492314,0.30868475788954824,0.3086578705354629,0.28528591326818303,0.2903398960229725,0.40602932884226883,0.4010022334415645
2022-23,2022-10-29,Crystal Palace,Southampton,1.96,3.62,4.22,2.08,3.47,3.94,1.0234140001998548,1.0227607754085613,0.023414000199854845,0.02276077540856125,0.49853146579294316,0.470070071446745,0.2699231140757372,0.2817711091092881,0.23154542013131957,0.24815881944396692
2022-23,2022-10-29,Fulham,Everton,2.39,3.46,3.18,2.33,3.49,3.27,1.021892791686498,1.0215278981991383,0.021892791686497937,0.02152789819913825,0.409446123159822,0.4201398220379854,0.28282550125779615,0.2804944943691994,0.3077283755823819,0.29936568359281523
2022-23,2022-10-29,Leicester,Man City,9.62,5.93,1.32,7.75,5.2,1.42,1.030159925606806,1.0255653024848845,0.030159925606805915,0.025565302484884533,0.1009067634706069,0.12581574059874934,0.16369697547845502,0.18751384416159755,0.735396261050938,0.6866704152396531
2022-23,2022-10-29,Liverpool,Leeds,1.32,5.98,9.43,1.23,7.5,12.0,1.0308443765495727,1.0296747967479674,0.030844376549572727,0.029674796747967358,0.7349079791379414,0.7895775759968418,0.16222049037827468,0.12949072246348206,0.10287153048378395,0.08093170153967628
2022-23,2022-10-29,Newcastle,Aston Villa,1.83,3.82,4.6,1.78,3.89,4.92,1.025619496491562,1.0221191940696739,0.02561949649156192,0.022119194069673886,0.532798069167935,0.5496401555401114,0.2552409598369951,0.25150629225228743,0.21196097099506986,0.19885355220760123
2022-23,2022-10-30,Arsenal,Nott'm Forest,1.2,7.4,16.85,1.22,7.25,13.5,1.0278156494773705,1.0316772397043739,0.027815649477370474,0.03167723970437386,0.8107809350412901,0.7945044240603943,0.13147798946615513,0.1336959168763698,0.057741075492554784,0.07179965906323564
2022-23,2022-10-30,Man United,West Ham,1.71,4.05,5.14,1.73,3.97,5.12,1.0262614310672198,1.025236350846668,0.026261431067219787,0.025236350846667976,0.5698307506590131,0.5638062692603205,0.24059520583380556,0.24568887804039152,0.1895740435071814,0.19050485269928796
2022-23,2022-11-05,Everton,Leicester,2.48,3.36,3.12,2.56,3.4,2.96,1.0213576745834811,1.0225804848966615,0.021357674583481145,0.022580484896661535,0.3947939262472885,0.3819992712255556,0.29139551699204624,0.2876229806874772,0.31381055676066516,0.330377748086967
2022-23,2022-11-05,Leeds,Bournemouth,1.74,3.99,5.08,1.65,4.22,5.52,1.0221896037949882,1.024186850995011,0.022189603794988244,0.024186850995010944,0.5622368311558625,0.5917480833422244,0.24518598651909798,0.23137069609352376,0.19257718232503954,0.17688122056425187
2022-23,2022-11-05,Man City,Fulham,1.13,10.33,22.62,1.18,8.5,16.0,1.0259698382142912,1.0276046859421735,0.02596983821429122,0.027604685942173468,0.862555329845429,0.8246922563822692,0.09435503608183299,0.11448668970953854,0.043089634072738046,0.06082105390819235
