Season,Date,HomeTeam,AwayTeam,Outcome,EarlierOdds,ClosingOdds,EarlierNoVigProbability,ClosingNoVigProbability
2015-16,2015-11-28,Bournemouth,Everton,H,2.95,2.65,0.33211636423610197,0.36961400359066426
2015-16,2015-11-28,Crystal Palace,Newcastle,H,1.69,1.71,0.580072440249776,0.5721388334813367
2015-16,2015-11-28,Leicester,Man United,H,3.26,3.26,0.30063583260100585,0.30054761449117484
2015-16,2015-11-28,Man City,Southampton,H,1.58,1.57,0.620854528786871,0.6237190371387434
2015-16,2015-11-28,Sunderland,Stoke,H,3.16,3.05,0.31032974986053097,0.3212140349008404
2015-16,2015-11-29,Liverpool,Swansea,H,1.48,1.48,0.6616214733183958,0.6616214733183958
2015-16,2015-11-29,Norwich,Arsenal,H,5.62,6.5,0.17413158205663426,0.15058903875704288
2015-16,2015-11-29,Tottenham,Chelsea,H,2.58,2.66,0.3799408584935867,0.3683606632118052
2015-16,2015-11-29,West Ham,West Brom,H,2.1,2.13,0.46653237449640445,0.4600451514237264
2015-16,2015-12-05,Arsenal,Sunderland,H,1.28,1.29,0.7674163385735848,0.7616526849401104
2015-16,2015-12-05,Chelsea,Bournemouth,H,1.38,1.43,0.711540796121951,0.6864716186973375
2015-16,2015-12-05,Man United,West Ham,H,1.43,1.46,0.6839515056506068,0.6709383434400084
2015-16,2015-12-05,Southampton,Aston Villa,H,1.52,1.5,0.6457367503616067,0.6525826145944374
2015-16,2015-12-05,Stoke,Man City,H,5.25,5.21,0.18645310473182564,0.18809056090253617
2015-16,2015-12-05,Swansea,Leicester,H,2.68,2.55,0.3654686741136473,0.38474870017331025
2015-16,2015-12-05,Watford,Norwich,H,2.16,2.35,0.45362306586623824,0.4171442259853692
2015-16,2015-12-05,West Brom,Tottenham,H,4.75,4.8,0.20598041730157055,0.20427102033178762
2015-16,2015-12-06,Newcastle,Liverpool,H,5.75,6.4,0.1703222999673712,0.15311273135165454
2015-16,2015-12-07,Everton,Crystal Palace,H,2.06,2.14,0.47654880730840804,0.4581579378725156
2015-16,2015-12-12,Bournemouth,Man United,H,3.46,3.3,0.28316050175263263,0.2969827441219012
2015-16,2015-12-12,Crystal Palace,Southampton,H,2.55,2.45,0.3844075646468545,0.4002033272409914
2015-16,2015-12-12,Man City,Swansea,H,1.32,1.35,0.743588557685637,0.7241298448963184
2015-16,2015-12-12,Norwich,Everton,H,2.92,3.16,0.33568819972460034,0.3101051505970415
2015-16,2015-12-12,Sunderland,Watford,H,2.86,2.81,0.3425362675800866,0.3487895297472921
2015-16,2015-12-12,West Ham,Stoke,H,2.63,2.59,0.3725299939498408,0.3787059283466748
2015-16,2015-12-13,Aston Villa,Arsenal,H,6.24,6.5,0.15694403316553154,0.15043691815637672
2015-16,2015-12-13,Liverpool,West Brom,H,1.45,1.44,0.6770410797256434,0.6815346478508125
2015-16,2015-12-13,Tottenham,Newcastle,H,1.39,1.37,0.7063530467007353,0.7146197005249904
2015-16,2015-12-14,Leicester,Chelsea,H,3.11,3.52,0.31515737212707806,0.2783375314861461
2015-16,2015-12-19,Chelsea,Sunderland,H,1.32,1.32,0.7441304771868849,0.7448293013166802
2015-16,2015-12-19,Everton,Leicester,H,2.07,2.05,0.4735162077735862,0.4780284049106795
2015-16,2015-12-19,Man United,Norwich,H,1.47,1.43,0.6663862674482796,0.6857422174822859
2015-16,2015-12-19,Newcastle,Aston Villa,H,2.03,2.01,0.48262216797005997,0.48767771727436743
2015-16,2015-12-19,Southampton,Tottenham,H,2.66,2.72,0.36857049830767713,0.3608541412390067
2015-16,2015-12-19,Stoke,Crystal Palace,H,2.51,2.46,0.3906297122866277,0.39811933432553104
2015-16,2015-12-19,West Brom,Bournemouth,H,2.64,2.86,0.3712992387005327,0.3426866081229418
2015-16,2015-12-20,Swansea,West Ham,H,2.1,2.07,0.46671162925137294,0.47413653316036974
2015-16,2015-12-20,Watford,Liverpool,H,4.14,3.68,0.23663605702744916,0.26626673464114364
2015-16,2015-12-21,Arsenal,Man City,H,2.38,2.49,0.4119252386080338,0.3935908339858898
2015-16,2015-12-26,Aston Villa,West Ham,H,2.66,2.53,0.36855862584017923,0.3873883417640583
2015-16,2015-12-26,Bournemouth,Crystal Palace,H,2.48,2.14,0.39536660449857314,0.45817297954223213
2015-16,2015-12-26,Chelsea,Watford,H,1.52,1.5,0.6455076406112489,0.6533667745208783
2015-16,2015-12-26,Liverpool,Leicester,H,1.95,1.99,0.5021653447520802,0.49257635583352305
2015-16,2015-12-26,Man City,Sunderland,H,1.21,1.21,0.8105074611052435,0.8103276937304619
2015-16,2015-12-26,Newcastle,Everton,H,3.37,3.62,0.2907721797264467,0.2706829616964023
2015-16,2015-12-26,Southampton,Arsenal,H,3.6,3.64,0.27239004084753327,0.26912322748152584
2015-16,2015-12-26,Stoke,Man United,H,3.33,3.79,0.29467733499515913,0.2586849985901266
2015-16,2015-12-26,Swansea,West Brom,H,1.96,1.92,0.49973838359346084,0.5111258718033876
2015-16,2015-12-26,Tottenham,Norwich,H,1.46,1.47,0.6717813119452435,0.667205525755015
2015-16,2015-12-28,Arsenal,Bournemouth,H,1.45,1.54,0.6765754622753315,0.6371830985915492
2015-16,2015-12-28,Crystal Palace,Swansea,H,2.09,2.04,0.4691501746216532,0.48082841881614746
2015-16,2015-12-28,Everton,Stoke,H,1.95,1.83,0.5023412985759113,0.5349724685768167
2015-16,2015-12-28,Man United,Chelsea,H,2.6,2.48,0.37727496310870634,0.39511284421626347
2015-16,2015-12-28,Norwich,Aston Villa,H,2.05,1.93,0.478311722017925,0.5090918271385203
2015-16,2015-12-28,Watford,Tottenham,H,3.92,3.28,0.25012849357872485,0.2991035530273699
2015-16,2015-12-28,West Brom,Newcastle,H,2.18,2.16,0.4495532718861462,0.4535463904503252
2015-16,2015-12-28,West Ham,Southampton,H,3.57,3.64,0.2746746545170791,0.26921469372590906
2015-16,2015-12-29,Leicester,Man City,H,4.25,4.17,0.2307399802266332,0.23485268625356912
2015-16,2015-12-30,Sunderland,Liverpool,H,5.51,5.77,0.17757480950698895,0.16987557203585968
2015-16,2016-01-02,Arsenal,Newcastle,H,1.27,1.24,0.7719433379002535,0.7884635888687495
2015-16,2016-01-02,Leicester,Bournemouth,H,1.94,1.94,0.5046813826499074,0.5048478232952357
2015-16,2016-01-02,Man United,Swansea,H,1.52,1.49,0.64367725823425,0.657557032095365
2015-16,2016-01-02,Norwich,Southampton,H,3.13,3.14,0.31345637820524713,0.3120635355333425
2015-16,2016-01-02,Sunderland,Aston Villa,H,2.49,2.49,0.3939330198175999,0.3936269915651358
2015-16,2016-01-02,Watford,Man City,H,5.14,4.99,0.1908768367561846,0.19662381807032914
2015-16,2016-01-02,West Brom,Stoke,H,2.81,2.88,0.34872833878221365,0.34056425755181563
2015-16,2016-01-02,West Ham,Liverpool,H,3.97,4.28,0.24677038594181822,0.22897704691602547
2015-16,2016-01-03,Crystal Palace,Chelsea,H,3.98,4.16,0.246117105177988,0.23559395248380127
2015-16,2016-01-03,Everton,Tottenham,H,2.78,2.59,0.35267870534241236,0.3785500860169619
2015-16,2016-01-12,Aston Villa,Crystal Palace,H,3.2,3.32,0.30631479736098016,0.29504008523505293
2015-16,2016-01-12,Bournemouth,West Ham,H,2.01,2.03,0.4876419505678023,0.48289962326884667
2015-16,2016-01-12,Newcastle,Man United,H,5.05,4.88,0.19416810584759434,0.20086382780714213
2015-16,2016-01-13,Chelsea,West Brom,H,1.46,1.46,0.6712592073919998,0.671489576802765
2015-16,2016-01-13,Liverpool,Arsenal,H,2.84,2.58,0.34502336255840643,0.3798405596311522
2015-16,2016-01-13,Man City,Everton,H,1.52,1.55,0.6462034478220818,0.6318163155190686
2015-16,2016-01-13,Southampton,Watford,H,2.0,2.06,0.49010266940451747,0.47601617925371675
2015-16,2016-01-13,Stoke,Norwich,H,2.01,2.04,0.4876479662148606,0.48009940278167457
2015-16,2016-01-13,Swansea,Sunderland,H,1.78,1.83,0.5511552445365339,0.5348460291734197
2015-16,2016-01-13,Tottenham,Leicester,H,1.75,1.86,0.5596442638237463,0.5264536152465933
2015-16,2016-01-16,Aston Villa,Leicester,H,3.75,3.59,0.2613540435590073,0.2729684246555806
2015-16,2016-01-16,Bournemouth,Norwich,H,1.89,1.9,0.5181651831405267,0.5157209302325582
2015-16,2016-01-16,Chelsea,Everton,H,1.81,1.71,0.541956450897903,0.5736100141844721
2015-16,2016-01-16,Man City,Crystal Palace,H,1.39,1.4,0.7058004018754186,0.7008448598130841
2015-16,2016-01-16,Newcastle,West Ham,H,2.55,2.39,0.3843405663570381,0.41017438516148913
2015-16,2016-01-16,Southampton,West Brom,H,1.71,1.71,0.5727901760942334,0.573842288628963
2015-16,2016-01-16,Tottenham,Sunderland,H,1.35,1.36,0.7253192151977577,0.7185774298500393
2015-16,2016-01-17,Liverpool,Man United,H,2.34,2.63,0.4186335403726708,0.3726887276696269
2015-16,2016-01-17,Stoke,Arsenal,H,4.29,3.28,0.22845961854515043,0.29889298892988925
2015-16,2016-01-18,Swansea,Watford,H,2.42,2.28,0.40503495668653894,0.4299213969995863
2015-16,2016-01-23,Crystal Palace,Tottenham,H,3.63,3.65,0.2700671947789872,0.2686789870434976
2015-16,2016-01-23,Leicester,Stoke,H,2.07,1.9,0.4734114190099171,0.5157043122432724
2015-16,2016-01-23,Man United,Southampton,H,1.91,2.09,0.513280810527513,0.4692737430167598
2015-16,2016-01-23,Norwich,Liverpool,H,4.35,4.28,0.2252340093603744,0.22900783323961343
2015-16,2016-01-23,Sunderland,Bournemouth,H,3.06,2.82,0.32042120529981416,0.3475188584931383
2015-16,2016-01-23,Watford,Newcastle,H,2.07,2.02,0.47360519623762987,0.4855664742196563
2015-16,2016-01-23,West Brom,Aston Villa,H,2.17,2.36,0.45143531262288633,0.41570639856299574
2015-16,2016-01-23,West Ham,Man City,H,5.19,5.0,0.18853566027512472,0.1957402715766746
2015-16,2016-01-24,Arsenal,Chelsea,H,2.06,2.32,0.4758821691101539,0.4224369926598374
2015-16,2016-01-24,Everton,Swansea,H,1.69,1.75,0.580040774981087,0.5597786535213588
2015-16,2016-02-02,Arsenal,Southampton,H,1.76,1.83,0.555663943421534,0.534879743830919
2015-16,2016-02-02,Crystal Palace,Bournemouth,H,2.48,2.64,0.39511967449440866,0.37122736418511065
2015-16,2016-02-02,Leicester,Liverpool,H,2.62,2.92,0.3743425427725046,0.33604316464696776
2015-16,2016-02-02,Man United,Stoke,H,1.68,1.62,0.5840862794466775,0.6048635970867794
2015-16,2016-02-02,Norwich,Tottenham,H,4.57,5.08,0.2138545673040264,0.19307855649869435
2015-16,2016-02-02,Sunderland,Man City,H,7.5,7.28,0.13066444674234817,0.13438812767461034
