Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn,SelectionFold,SelectionTrainingStart,SelectionTrainingEnd,SelectedHistoricalROI,OddsBand
2021-22,2022-03-10,Southampton,Newcastle,A,0.360141055945855,0.22180751799520126,4.41,A,1,0.13833353795065373,0.13833353795065373,0.22675736961451246,0.13338368633134254,0.5882220567212206,True,3.41,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,3.00 to 4.99
2021-22,2022-05-15,Everton,Brentford,A,0.4186329524356083,0.2259807769014012,4.32,A,1,0.19265217553420708,0.19265217553420708,0.23148148148148145,0.18715147095412682,0.8084943545218279,True,3.3200000000000003,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,3.00 to 4.99
2021-22,2022-04-04,Crystal Palace,Arsenal,H,0.4224182729213933,0.2356469288930422,4.15,H,1,0.18677134402835108,0.18677134402835108,0.24096385542168672,0.18145441749970656,0.7530358326237823,True,3.1500000000000004,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,3.00 to 4.99
2023-24,2023-11-25,Luton,Crystal Palace,H,0.3992778733446733,0.23617016933931134,4.12,H,1,0.16310770400536195,0.16310770400536195,0.24271844660194175,0.15655942674273154,0.6450248381800541,True,3.12,True,7,Expected return >= 50%,0.5,3,2020-21,2022-23,0.011944444444444436,3.00 to 4.99
2023-24,2023-09-24,Chelsea,Aston Villa,A,0.4277689321641089,0.23867180917193162,4.1,A,1,0.18909712299217726,0.18909712299217726,0.24390243902439027,0.18386649313971862,0.7538526218728463,True,3.0999999999999996,True,7,Expected return >= 50%,0.5,3,2020-21,2022-23,0.011944444444444436,3.00 to 4.99
2022-23,2022-08-14,Nott'm Forest,West Ham,H,0.3797054160366417,0.2427046428464901,4.03,H,1,0.1370007731901516,0.1370007731901516,0.24813895781637715,0.13156645822026455,0.5302128266276662,True,3.0300000000000002,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035,3.00 to 4.99
2022-23,2022-11-12,West Ham,Leicester,A,0.3952413290001032,0.2427046428464901,4.03,A,1,0.15253668615361313,0.15253668615361313,0.24813895781637715,0.14710237118372607,0.5928225558704161,True,3.0300000000000002,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035,3.00 to 4.99
2023-24,2024-04-06,Luton,Bournemouth,H,0.4282069527340724,0.25457222718121464,3.82,H,1,0.17363472555285775,0.17363472555285775,0.2617801047120419,0.1664268480220305,0.6357505594441564,True,2.82,True,7,Expected return >= 50%,0.5,3,2020-21,2022-23,0.011944444444444436,3.00 to 4.99
2024-25,2024-10-19,Southampton,Leicester,A,0.4615096021594852,0.28543425869376793,3.41,A,1,0.1760753434657173,0.1760753434657173,0.29325513196480935,0.16825447019467588,0.5737477433638447,True,2.41,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265,3.00 to 4.99
2021-22,2021-09-18,Norwich,Watford,A,0.5150806048764587,0.29589974585664225,3.31,A,1,0.21918085901981643,0.21918085901981643,0.3021148036253776,0.21296580125108105,0.7049168021410783,True,2.31,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,3.00 to 4.99
