Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn
2024-25,2024-09-14,Crystal Palace,Leicester,D,0.2564610526074902,0.1784999242224828,5.43,A,0,0.0779611283850074,0.0779611283850074,0.1841620626151013,0.0722989899923889,0.39258351565867167,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-09-21,Fulham,Newcastle,H,0.5403522695712608,0.4043535496356414,2.41,A,0,0.1359987199356194,0.1359987199356194,0.41493775933609955,0.12541451023516126,0.30224896966673853,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-09-21,Southampton,Ipswich,D,0.4800522157762769,0.31808910846213123,3.06,A,0,0.16196310731414565,0.16196310731414565,0.32679738562091504,0.15325483015536184,0.4689597802754073,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-09-21,Tottenham,Brentford,H,0.2674255567834778,0.15549613319764163,6.23,A,0,0.11192942358583616,0.11192942358583616,0.16051364365971107,0.10691191312376672,0.6660612187610668,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-10-05,Leicester,Bournemouth,H,0.3740297581534516,0.2629633172971791,3.7,H,1,0.11106644085627249,0.11106644085627249,0.27027027027027023,0.10375948788318134,0.3839101051677709,True,2.7,True,6,Expected return >= 30%,0.3
2024-25,2024-10-19,Southampton,Leicester,A,0.4615096021594852,0.28543425869376793,3.41,A,1,0.1760753434657173,0.1760753434657173,0.29325513196480935,0.16825447019467588,0.5737477433638447,True,2.41,True,6,Expected return >= 30%,0.3
2024-25,2024-10-19,Tottenham,West Ham,H,0.2112699802726599,0.15486747342119447,6.25,A,0,0.05640250685146542,0.05640250685146542,0.16,0.05126998027265989,0.3204373767041244,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-10-26,Brentford,Ipswich,H,0.257622137542493,0.1873753297728589,5.19,A,0,0.07024680776963413,0.07024680776963413,0.19267822736030826,0.06494391018218476,0.337058893845539,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-11-02,Southampton,Everton,H,0.4804937296847121,0.34778577829970025,2.8,A,0,0.13270795138501185,0.13270795138501185,0.35714285714285715,0.12335087254185495,0.3453824431171939,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-11-02,Wolves,Crystal Palace,D,0.4183127708578525,0.310567432643573,3.13,A,0,0.1077453382142795,0.1077453382142795,0.3194888178913738,0.09882395296647872,0.30931897278507825,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-11-09,Crystal Palace,Fulham,A,0.4133054257757428,0.2889018586693005,3.37,H,0,0.12440356710644229,0.12440356710644229,0.29673590504451036,0.11656952073123245,0.39283928486425324,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-11-10,Man United,Leicester,H,0.1962420278151508,0.10865097788744235,8.93,A,0,0.08759104992770844,0.08759104992770844,0.11198208286674133,0.08425994494840947,0.7524413083892965,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-11-10,Tottenham,Ipswich,A,0.143267942784956,0.09052537045352492,10.66,A,1,0.05274257233143108,0.05274257233143108,0.09380863039399624,0.049459312390959756,0.527236270087631,True,9.66,True,6,Expected return >= 30%,0.3
2024-25,2024-11-23,Fulham,Wolves,A,0.2221941644671361,0.16397697989631052,5.91,A,1,0.058217184570825586,0.058217184570825586,0.1692047377326565,0.052989426734479594,0.3131675120007744,True,4.91,True,6,Expected return >= 30%,0.3
2024-25,2024-11-23,Leicester,Chelsea,A,0.2301190662017483,0.13862463912158643,7.0,H,0,0.09149442708016187,0.09149442708016187,0.14285714285714285,0.08726192334460545,0.6108334634122381,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-11-24,Ipswich,Man United,D,0.3277845194151907,0.18855625822883165,5.15,H,0,0.13922826118635906,0.13922826118635906,0.1941747572815534,0.13360976213363732,0.6880902749882323,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-11-25,Newcastle,West Ham,A,0.2249091532206311,0.1462751090075653,6.64,A,1,0.0786340442130658,0.0786340442130658,0.15060240963855423,0.07430674358207687,0.4933967773849903,True,5.64,True,6,Expected return >= 30%,0.3
2024-25,2024-11-30,Brentford,Leicester,H,0.2923509349876417,0.18068288714311143,5.38,A,0,0.11166804784453027,0.11166804784453027,0.1858736059479554,0.10647732903968629,0.5728480302335124,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-11-30,Nott'm Forest,Ipswich,H,0.275209325348735,0.19683929282019216,4.94,A,0,0.07837003252854283,0.07837003252854283,0.20242914979757085,0.07278017555116414,0.35953406722275094,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-11-30,West Ham,Arsenal,A,0.2082103395023374,0.13222106399682246,7.34,H,0,0.07598927550551493,0.07598927550551493,0.1362397820163488,0.0719705574859886,0.5282638919471565,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-12-03,Ipswich,Crystal Palace,A,0.4607064269887924,0.2902991604147663,3.35,H,0,0.1704072665740261,0.1704072665740261,0.29850746268656714,0.16219896430222525,0.5433665304124544,True,-1.0,True,6,Expected return >= 30%,0.3
2024-25,2024-12-05,Bournemouth,Tottenham,H,0.5009965328729618,0.3169174086582745,3.06,A,0,0.18407912421468725,0.18407912421468725,0.32679738562091504,0.17419914725204672,0.533049390591263,True,-1.0,True,6,Expected return >= 30%,0.3
