Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,EarlierOdds,ClosingOdds,EarlierNoVigProbability,ClosingNoVigProbability,EarlierModelExpectedReturn,ClosingModelExpectedReturn,OutcomeOrder
2020-21,2020-10-17,Man City,Arsenal,H,0.2269481428776518,0.16910075279377443,5.76,A,0,0.057847390083877376,0.057847390083877376,0.1736111111111111,0.0533370317665407,0.3072213029752744,True,-1.0,6.36,5.76,0.1534242288313287,0.16910075279377443,0.44339018870186564,0.3072213029752744,2
2020-21,2020-10-17,Newcastle,Man United,A,0.3051101246103576,0.20515362576980922,4.77,H,0,0.09995649884054836,0.09995649884054836,0.20964360587002098,0.0954665187403366,0.45537529439140556,True,-1.0,4.87,4.77,0.2014535946553806,0.20515362576980922,0.4858863068524415,0.45537529439140556,0
2020-21,2020-10-18,Crystal Palace,Brighton,D,0.4096097187912588,0.30029664932159705,3.27,H,0,0.10931306946966174,0.10931306946966174,0.3058103975535168,0.10379932123774199,0.3394237804474163,True,-1.0,2.73,3.27,0.35944980852819597,0.30029664932159705,0.11823453230013659,0.3394237804474163,0
2020-21,2020-10-18,Leicester,Aston Villa,A,0.5683177224946078,0.39592030430881714,2.48,H,0,0.17239741818579063,0.17239741818579063,0.40322580645161293,0.16509191604299484,0.4094279517866273,True,-1.0,1.93,2.48,0.5084205459408282,0.39592030430881714,0.09685320441459289,0.4094279517866273,0
2020-21,2020-10-18,Sheffield United,Fulham,D,0.5496215622611926,0.4083051149527714,2.4,H,0,0.14131644730842124,0.14131644730842124,0.4166666666666667,0.13295489559452595,0.31909174942686236,True,-1.0,2.15,2.4,0.45615260988051143,0.4083051149527714,0.18168635886156403,0.31909174942686236,0
2020-21,2020-10-18,Tottenham,West Ham,D,0.1835554101311773,0.17405459554219885,5.61,A,0,0.009500814588978446,0.009500814588978446,0.17825311942959002,0.0053022907015872756,0.029745850835904752,True,-1.0,5.63,5.61,0.1733036478505217,0.17405459554219885,0.03341695903852804,0.029745850835904752,2
2020-21,2020-10-19,Leeds,Wolves,A,0.3700054145550951,0.3313802108007929,2.96,A,1,0.03862520375430223,0.03862520375430223,0.33783783783783783,0.032167576717257285,0.09521602708308152,True,1.96,3.07,2.96,0.3193445500875875,0.3313802108007929,0.13591662268414195,0.09521602708308152,2
2020-21,2020-10-19,West Brom,Burnley,D,0.3835148910449162,0.3384577237788247,2.9,A,0,0.04505716726609149,0.04505716726609149,0.3448275862068966,0.03868730483801963,0.11219318403025702,True,-1.0,3.05,2.9,0.3219749259929359,0.3384577237788247,0.16972041768699442,0.11219318403025702,2
2020-21,2020-10-23,Aston Villa,Leeds,A,0.287554634357375,0.23828980194491112,4.12,D,0,0.04926483241246388,0.04926483241246388,0.24271844660194175,0.04483618775543324,0.18472509355238498,True,-1.0,3.83,4.12,0.2556567795870943,0.23828980194491112,0.10133424958874615,0.18472509355238498,1
2020-21,2020-10-24,Fulham,Crystal Palace,A,0.3970902487084685,0.3185944675851757,3.08,A,1,0.07849578112329281,0.07849578112329281,0.3246753246753247,0.07241492403314381,0.22303796602208292,True,2.08,2.86,3.08,0.3433601002422011,0.3185944675851757,0.13567811130621976,0.22303796602208292,2
