Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn
2022-23,2023-04-04,Chelsea,Liverpool,D,0.495369399674726,0.2794738533882787,3.5,A,0,0.2158955462864473,0.2158955462864473,0.2857142857142857,0.2096551139604403,0.733792898861541,True,-1.0
2022-23,2023-04-04,Chelsea,Liverpool,D,0.2447012029172592,0.28189005384984883,3.47,D,1,-0.03718885093258964,0.03718885093258964,0.2881844380403458,-0.04348323512308663,-0.15088682587711055,False,2.47
2022-23,2023-04-04,Chelsea,Liverpool,D,0.2599293974080148,0.43863609276187243,2.23,H,0,-0.17870669535385764,0.17870669535385764,0.4484304932735426,-0.18850109586552782,-0.42035744378012696,False,-1.0
2022-23,2023-04-04,Leeds,Nott'm Forest,H,0.2465319848923665,0.18657562909531414,5.22,A,0,0.05995635579705236,0.05995635579705236,0.19157088122605365,0.05496110366631285,0.2868969611381531,True,-1.0
2022-23,2023-04-04,Leeds,Nott'm Forest,H,0.257617202577319,0.2471890314409999,3.94,D,0,0.010428171136319109,0.010428171136319109,0.25380710659898476,0.0038100959783342603,0.015011778154636835,True,-1.0
2022-23,2023-04-04,Leeds,Nott'm Forest,H,0.4958508125303144,0.5662353394636859,1.72,H,1,-0.0703845269333715,0.0703845269333715,0.5813953488372093,-0.08554453630689496,-0.1471366024478593,False,0.72
2022-23,2023-04-04,Leicester,Aston Villa,A,0.3239762293313756,0.362735456539829,2.7,A,1,-0.03875922720845343,0.03875922720845343,0.37037037037037035,-0.04639414103899475,-0.12526418080528579,False,1.7000000000000002
2022-23,2023-04-04,Leicester,Aston Villa,A,0.2811667790546535,0.27982449504501095,3.5,D,0,0.001342284009642536,0.001342284009642536,0.2857142857142857,-0.004547506659632217,-0.015916273308712814,False,-1.0
2022-23,2023-04-04,Leicester,Aston Villa,A,0.3948569916139708,0.35744004841516,2.74,H,0,0.03741694319881078,0.03741694319881078,0.36496350364963503,0.029893487964335774,0.08190815702228016,True,-1.0
2022-23,2023-04-05,Man United,Brentford,H,0.1987468924160499,0.1788053494517541,5.48,A,0,0.01994154296429579,0.01994154296429579,0.18248175182481752,0.01626514059123238,0.0891329704399535,True,-1.0
2022-23,2023-04-05,Man United,Brentford,H,0.2320112370899045,0.22734415661151103,4.31,D,0,0.004667080478393482,0.004667080478393482,0.2320185614849188,-7.324395014302043e-06,-3.1568142511706476e-05,False,-1.0
2022-23,2023-04-05,Man United,Brentford,H,0.5692418704940455,0.5938504939367348,1.65,H,1,-0.024608623442689326,0.024608623442689326,0.6060606060606061,-0.03681873556656057,-0.06075091368482499,False,0.6499999999999999
2022-23,2023-04-05,West Ham,Newcastle,A,0.4521551840101211,0.4255832603990817,2.3,A,1,0.02657192361103944,0.02657192361103944,0.4347826086956522,0.017372575314468897,0.03995692322327837,True,1.2999999999999998
2022-23,2023-04-05,West Ham,Newcastle,A,0.2702428299734944,0.29394639607143774,3.33,D,0,-0.02370356609794333,0.02370356609794333,0.3003003003003003,-0.03005747032680589,-0.10009137618826358,False,-1.0
2022-23,2023-04-05,West Ham,Newcastle,A,0.2776019860163844,0.2804703435294807,3.49,H,0,-0.0028683575130962757,0.0028683575130962757,0.28653295128939826,-0.008930965273013847,-0.031169068802818334,False,-1.0
2022-23,2023-04-08,Aston Villa,Nott'm Forest,H,0.2819703105746792,0.15961691939345568,6.12,A,0,0.12235339118122351,0.12235339118122351,0.16339869281045752,0.11857161776422168,0.7256583007170367,True,-1.0
2022-23,2023-04-08,Aston Villa,Nott'm Forest,H,0.2569092369784754,0.22984836392657618,4.25,D,0,0.02706087305189922,0.02706087305189922,0.23529411764705882,0.021615119331416577,0.09186425715852042,True,-1.0
2022-23,2023-04-08,Aston Villa,Nott'm Forest,H,0.4611204524468454,0.610534716679968,1.6,H,1,-0.14941426423312254,0.14941426423312254,0.625,-0.1638795475531546,-0.26220727608504735,False,0.6000000000000001
2022-23,2023-04-08,Brentford,Newcastle,A,0.4543958436027097,0.4986461858890915,1.96,A,1,-0.044250342286381805,0.044250342286381805,0.5102040816326531,-0.05580823802994339,-0.109384146538689,False,0.96
2022-23,2023-04-08,Brentford,Newcastle,A,0.2622736001938912,0.2730018224420724,3.58,D,0,-0.010728222248181207,0.010728222248181207,0.27932960893854747,-0.017056008744656292,-0.061060511305869536,False,-1.0
2022-23,2023-04-08,Brentford,Newcastle,A,0.2833305562033992,0.22835199166883627,4.28,H,0,0.05497856453456293,0.05497856453456293,0.2336448598130841,0.04968569639031509,0.21265478055054854,True,-1.0
2022-23,2023-04-08,Fulham,West Ham,A,0.4002780365957214,0.36384474386104554,2.69,A,1,0.03643329273467588,0.03643329273467588,0.3717472118959108,0.02853082469981061,0.07674791844249063,True,1.69
2022-23,2023-04-08,Fulham,West Ham,A,0.2743122745755701,0.29749007932711624,3.29,D,0,-0.023177804751546127,0.023177804751546127,0.303951367781155,-0.029639093205584888,-0.09751261664637434,False,-1.0
2022-23,2023-04-08,Fulham,West Ham,A,0.3254096888287084,0.3386651768118382,2.89,H,0,-0.01325548798312981,0.01325548798312981,0.3460207612456747,-0.020611072416966303,-0.0595659992850327,False,-1.0
2022-23,2023-04-08,Leicester,Bournemouth,A,0.1847400188944892,0.26060370459870347,3.75,A,1,-0.07586368570421426,0.07586368570421426,0.26666666666666666,-0.08192664777217745,-0.30722492914566546,False,2.75
2022-23,2023-04-08,Leicester,Bournemouth,A,0.2506849167590809,0.27842276132340116,3.51,D,0,-0.02773784456432027,0.02773784456432027,0.2849002849002849,-0.03421536814120402,-0.12009594217562614,False,-1.0
2022-23,2023-04-08,Leicester,Bournemouth,A,0.5645750643464298,0.46097353407789526,2.12,H,0,0.10360153026853453,0.10360153026853453,0.4716981132075471,0.09287695113888267,0.19689913641443124,True,-1.0
2022-23,2023-04-08,Man United,Everton,H,0.1191222336905188,0.16246215943491424,6.0,A,0,-0.043339925744395436,0.043339925744395436,0.16666666666666666,-0.047544432976147855,-0.2852665978568871,False,-1.0
2022-23,2023-04-08,Man United,Everton,H,0.1835760794144916,0.23208879919273462,4.2,D,0,-0.04851271977824301,0.04851271977824301,0.23809523809523808,-0.05451915868074647,-0.22898046645913517,False,-1.0
2022-23,2023-04-08,Man United,Everton,H,0.6973016868949895,0.6054490413723511,1.61,H,1,0.09185264552263839,0.09185264552263839,0.6211180124223602,0.0761836744726293,0.12265571590093316,True,0.6100000000000001
2022-23,2023-04-08,Southampton,Man City,A,0.8197370546232843,0.7681228996639462,1.26,A,1,0.05161415495933808,0.05161415495933808,0.7936507936507936,0.02608626097249067,0.03286868882533822,True,0.26
2022-23,2023-04-08,Southampton,Man City,A,0.1228038401164973,0.15122419587133942,6.4,D,0,-0.028420355754842128,0.028420355754842128,0.15625,-0.033446159883502705,-0.2140554232544173,False,-1.0
2022-23,2023-04-08,Southampton,Man City,A,0.0574591052602182,0.08065290446471435,12.0,H,0,-0.02319379920449615,0.02319379920449615,0.08333333333333333,-0.02587422807311513,-0.3104907368773816,False,-1.0
2022-23,2023-04-08,Tottenham,Brighton,H,0.3365411675071338,0.37511470618223836,2.61,A,0,-0.038573538675104546,0.038573538675104546,0.3831417624521073,-0.046600594944973484,-0.12162755280638082,False,-1.0
2022-23,2023-04-08,Tottenham,Brighton,H,0.2455807024015399,0.2789314481867926,3.51,D,0,-0.03335074578525271,0.03335074578525271,0.2849002849002849,-0.03931958249874501,-0.138011734570595,False,-1.0
2022-23,2023-04-08,Tottenham,Brighton,H,0.4178781300913262,0.3459538456309689,2.83,H,1,0.07192428446035726,0.07192428446035726,0.35335689045936397,0.06452123963196221,0.18259510815845315,True,1.83
2022-23,2023-04-08,Wolves,Chelsea,H,0.5128942447594629,0.5446190042941337,1.79,A,0,-0.0317247595346708,0.0317247595346708,0.5586592178770949,-0.04576497311763206,-0.0819193018805614,False,-1.0
2022-23,2023-04-08,Wolves,Chelsea,H,0.2369752767915003,0.26347784261797275,3.7,D,0,-0.026502565826472452,0.026502565826472452,0.27027027027027023,-0.033294993478769935,-0.12319147587144885,False,-1.0
2022-23,2023-04-08,Wolves,Chelsea,H,0.2501304784490369,0.19190315308789357,5.08,H,1,0.058227325361143334,0.058227325361143334,0.19685039370078738,0.05328008474824952,0.2706628305211076,True,4.08
2022-23,2023-04-09,Leeds,Crystal Palace,A,0.315043901788292,0.2557607440867223,3.82,A,1,0.05928315770156972,0.05928315770156972,0.2617801047120419,0.05326379707625012,0.2034677048312754,True,2.82
2022-23,2023-04-09,Leeds,Crystal Palace,A,0.2545226265508493,0.2767722499748666,3.53,D,0,-0.022249623424017317,0.022249623424017317,0.28328611898017,-0.02876349242932069,-0.10153512827550204,False,-1.0
2022-23,2023-04-09,Leeds,Crystal Palace,A,0.4304334716608587,0.46746700593841106,2.09,H,0,-0.03703353427755235,0.03703353427755235,0.47846889952153115,-0.04803542786067244,-0.10039404422880538,False,-1.0
2022-23,2023-04-09,Liverpool,Arsenal,D,0.3407470247813462,0.38865463688028706,2.51,A,0,-0.047907612098940844,0.047907612098940844,0.39840637450199207,-0.05765934972064585,-0.14472496779882105,False,-1.0
2022-23,2023-04-09,Liverpool,Arsenal,D,0.2736010037699209,0.26294424220202706,3.71,D,1,0.010656761567893858,0.010656761567893858,0.2695417789757412,0.004059224794179694,0.015059723986406537,True,2.71
2022-23,2023-04-09,Liverpool,Arsenal,D,0.385651971448733,0.3484011209176859,2.8,H,0,0.0372508505310471,0.0372508505310471,0.35714285714285715,0.028509114305875827,0.07982552005645216,True,-1.0
2022-23,2023-04-15,Aston Villa,Newcastle,H,0.4863575434900503,0.455097587885496,2.15,A,0,0.0312599556045543,0.0312599556045543,0.46511627906976744,0.021241264420282846,0.045668718503607986,True,-1.0
2022-23,2023-04-15,Aston Villa,Newcastle,H,0.249553344134422,0.2811666132051196,3.48,D,0,-0.031613269070697586,0.031613269070697586,0.28735632183908044,-0.03780297770465843,-0.1315543624122114,False,-1.0
2022-23,2023-04-15,Aston Villa,Newcastle,H,0.2640891123755277,0.2637357989093844,3.71,H,1,0.00035331346614325687,0.00035331346614325687,0.2695417789757412,-0.0054526666002135404,-0.02022939308679228,False,2.71
2022-23,2023-04-15,Chelsea,Brighton,A,0.346436161344509,0.39973926139045607,2.45,A,1,-0.05330310004594707,0.05330310004594707,0.4081632653061224,-0.061727103961613405,-0.15123140470595287,False,1.4500000000000002
2022-23,2023-04-15,Chelsea,Brighton,A,0.2491668404049788,0.28636292117152556,3.42,D,0,-0.03719608076654676,0.03719608076654676,0.29239766081871343,-0.04323082041373463,-0.14784940581497252,False,-1.0
2022-23,2023-04-15,Chelsea,Brighton,A,0.404396998250512,0.3138978174380184,3.12,H,0,0.09049918081249358,0.09049918081249358,0.3205128205128205,0.08388417773769152,0.2617186345415976,True,-1.0
2022-23,2023-04-15,Everton,Fulham,A,0.372461191297227,0.27568380009148796,3.55,A,1,0.09677739120573903,0.09677739120573903,0.28169014084507044,0.09077105045215655,0.32223722910515584,True,2.55
2022-23,2023-04-15,Everton,Fulham,A,0.2802117310806777,0.29127306259666136,3.36,D,0,-0.011061331515983652,0.011061331515983652,0.2976190476190476,-0.01740731653836991,-0.05848858356892295,False,-1.0
2022-23,2023-04-15,Everton,Fulham,A,0.3473270776220952,0.43304313731185057,2.26,H,0,-0.08571605968975538,0.08571605968975538,0.4424778761061947,-0.09515079848409952,-0.21504080457406494,False,-1.0
2022-23,2023-04-15,Man City,Leicester,H,0.039126822386871,0.049605447712453295,19.5,A,0,-0.010478625325582296,0.010478625325582296,0.05128205128205128,-0.012155228895180281,-0.23702696345601548,False,-1.0
2022-23,2023-04-15,Man City,Leicester,H,0.1014467584750943,0.0943713395505209,10.25,D,0,0.00707541892457339,0.00707541892457339,0.0975609756097561,0.0038857828653381943,0.039829274369716616,True,-1.0
2022-23,2023-04-15,Man City,Leicester,H,0.8594264191380345,0.8560232127370259,1.13,H,1,0.0034032064010086627,0.0034032064010086627,0.8849557522123894,-0.0255293330743549,-0.02884814637402111,False,0.1299999999999999
2022-23,2023-04-15,Southampton,Crystal Palace,A,0.4567785031647706,0.3563697334545775,2.75,A,1,0.10040876971019308,0.10040876971019308,0.36363636363636365,0.09314213952840694,0.25614088370311916,True,1.75
2022-23,2023-04-15,Southampton,Crystal Palace,A,0.2495593392531333,0.30915355425870283,3.17,D,0,-0.05959421500556952,0.05959421500556952,0.31545741324921134,-0.06589807399607803,-0.20889689456756744,False,-1.0
2022-23,2023-04-15,Southampton,Crystal Palace,A,0.293662157582096,0.3344767122867195,2.93,H,0,-0.040814554704623474,0.040814554704623474,0.341296928327645,-0.047634770745549004,-0.13956987828445866,False,-1.0
2022-23,2023-04-15,Tottenham,Bournemouth,A,0.1087789347721023,0.14700948337841077,6.6,A,1,-0.038230548606308465,0.038230548606308465,0.15151515151515152,-0.04273621674304921,-0.28205903050412484,False,5.6
2022-23,2023-04-15,Tottenham,Bournemouth,A,0.1784348677903742,0.21465986511006882,4.52,D,0,-0.03622499731969461,0.03622499731969461,0.22123893805309736,-0.04280407026272315,-0.19347439758750862,False,-1.0
2022-23,2023-04-15,Tottenham,Bournemouth,A,0.7127861974375233,0.6383306515115205,1.52,H,0,0.07445554592600279,0.07445554592600279,0.6578947368421053,0.05489146059541794,0.08343502010503534,True,-1.0
2022-23,2023-04-15,Wolves,Brentford,H,0.4352469028494896,0.35582822085889565,2.75,A,0,0.07941868199059393,0.07941868199059393,0.36363636363636365,0.07161053921312593,0.19692898283609628,True,-1.0
2022-23,2023-04-15,Wolves,Brentford,H,0.2679692981777749,0.30674846625766866,3.19,D,0,-0.03877916807989379,0.03877916807989379,0.31347962382445144,-0.045510325646676564,-0.1451779388128982,False,-1.0
2022-23,2023-04-15,Wolves,Brentford,H,0.2967837989727353,0.3374233128834355,2.9,H,1,-0.0406395139107002,0.0406395139107002,0.3448275862068966,-0.04804378723416125,-0.13932698297906754,False,1.9
2022-23,2023-04-16,Nott'm Forest,Man United,A,0.4433510441268855,0.5716054387483428,1.7,A,1,-0.12825439462145732,0.12825439462145732,0.5882352941176471,-0.1448842499907616,-0.2463032249842947,False,0.7
2022-23,2023-04-16,Nott'm Forest,Man United,A,0.249556686238262,0.23934217878625197,4.06,D,0,0.010214507452010024,0.010214507452010024,0.24630541871921185,0.0032512675190501383,0.01320014612734366,True,-1.0
2022-23,2023-04-16,Nott'm Forest,Man United,A,0.3070922696348525,0.18905238246540523,5.14,H,0,0.11803988716944724,0.11803988716944724,0.19455252918287938,0.1125397404519731,0.5784542659231415,True,-1.0
2022-23,2023-04-16,West Ham,Arsenal,D,0.6131714938354418,0.6039058932140384,1.61,A,0,0.009265600621403358,0.009265600621403358,0.6211180124223602,-0.007946518586918416,-0.012793894924938654,False,-1.0
2022-23,2023-04-16,West Ham,Arsenal,D,0.2054800550639685,0.22611360187781437,4.3,D,1,-0.020633546813845882,0.020633546813845882,0.23255813953488372,-0.027078084470915226,-0.11643576322493554,False,3.3
2022-23,2023-04-16,West Ham,Arsenal,D,0.1813484511005896,0.1699805049081472,5.72,H,0,0.011367946192442413,0.011367946192442413,0.17482517482517484,0.006523276275414769,0.03731314029537258,True,-1.0
2022-23,2023-04-17,Leeds,Liverpool,A,0.6605000291433039,0.5631263659732525,1.73,A,1,0.09737366317005136,0.09737366317005136,0.5780346820809249,0.08246534706237896,0.14266505041791566,True,0.73
2022-23,2023-04-17,Leeds,Liverpool,A,0.1935425799067162,0.21941635430939788,4.44,D,0,-0.025873774402681682,0.025873774402681682,0.2252252252252252,-0.031682645318509006,-0.14067094521418,False,-1.0
2022-23,2023-04-17,Leeds,Liverpool,A,0.1459573909499799,0.21745727971734968,4.48,H,0,-0.07149988876736979,0.07149988876736979,0.2232142857142857,-0.0772568947643058,-0.34611088854409,False,-1.0
2022-23,2023-04-21,Arsenal,Southampton,D,0.0388890219777357,0.06869561170831588,14.16,A,0,-0.02980658973058018,0.02980658973058018,0.07062146892655367,-0.03173244694881797,-0.44933144879526243,False,-1.0
2022-23,2023-04-21,Arsenal,Southampton,D,0.1003732376685533,0.13398482944762435,7.26,D,1,-0.033611591779071054,0.033611591779071054,0.13774104683195593,-0.03736780916340263,-0.27129029452630304,False,6.26
2022-23,2023-04-21,Arsenal,Southampton,D,0.8607377403537109,0.7973195588440597,1.22,H,0,0.06341818150965117,0.06341818150965117,0.819672131147541,0.04106560920616986,0.05010004323152728,True,-1.0
2022-23,2023-04-22,Brentford,Aston Villa,D,0.3163835011189704,0.34598592006600687,2.83,A,0,-0.02960241894703647,0.02960241894703647,0.35335689045936397,-0.03697338934039357,-0.10463469183331375,False,-1.0
2022-23,2023-04-22,Brentford,Aston Villa,D,0.2582584747405142,0.2940360822182581,3.33,D,1,-0.03577760747774389,0.03577760747774389,0.3003003003003003,-0.042041825559786083,-0.1399992791140876,False,2.33
