Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,EarlierOdds,ClosingOdds,EarlierNoVigProbability,ClosingNoVigProbability,EarlierModelExpectedReturn,ClosingModelExpectedReturn,OutcomeOrder
2022-23,2022-08-05,Crystal Palace,Arsenal,A,0.4618176439732121,0.5185681935858167,1.88,A,1,-0.05675054961260462,0.05675054961260462,0.5319148936170213,-0.07009724964380915,-0.13178282933036123,False,0.8799999999999999,1.89,1.88,0.5160469390640464,0.5185681935858167,-0.12716465289062917,-0.13178282933036123,2
2022-23,2022-08-05,Crystal Palace,Arsenal,A,0.2314857451292504,0.26856975315188303,3.63,D,0,-0.03708400802263262,0.03708400802263262,0.27548209366391185,-0.043996348534661445,-0.15970674518082106,False,-1.0,3.65,3.63,0.2672133465290541,0.26856975315188303,-0.15507703027823605,-0.15970674518082106,1
2022-23,2022-08-05,Crystal Palace,Arsenal,A,0.3066966108975374,0.21286205326230032,4.58,H,0,0.0938345576352371,0.0938345576352371,0.2183406113537118,0.08835599954382561,0.4046704779107213,True,-1.0,4.5,4.58,0.21673971440689946,0.21286205326230032,0.3801347490389184,0.4046704779107213,0
2022-23,2022-08-06,Bournemouth,Aston Villa,H,0.4387320355846464,0.4887345180756979,2.0,A,0,-0.05000248249105149,0.05000248249105149,0.5,-0.06126796441535359,-0.12253592883070719,False,-1.0,2.04,2.0,0.47871710593471206,0.4887345180756979,-0.10498664740732133,-0.12253592883070719,2
2022-23,2022-08-06,Bournemouth,Aston Villa,H,0.2513228714042338,0.27227549753520774,3.59,D,0,-0.020952626130973928,0.020952626130973928,0.2785515320334262,-0.02722866062919238,-0.09775089165880069,False,-1.0,3.58,3.59,0.2727885184655901,0.27227549753520774,-0.10026412037284294,-0.09775089165880069,1
2022-23,2022-08-06,Bournemouth,Aston Villa,H,0.3099450930111195,0.23898998438909436,4.09,H,1,0.07095510862202514,0.07095510862202514,0.24449877750611249,0.06544631550500701,0.2676754304154787,True,3.09,3.93,4.09,0.24849437559969786,0.23898998438909436,0.21808421553369972,0.2676754304154787,0
2022-23,2022-08-06,Everton,Chelsea,A,0.4961016216222773,0.6244477172312224,1.56,A,1,-0.1283460956089451,0.1283460956089451,0.641025641025641,-0.1449240194033637,-0.2260814702692474,False,0.56,1.63,1.56,0.5983203775002806,0.6244477172312224,-0.19135435675568813,-0.2260814702692474,2
2022-23,2022-08-06,Everton,Chelsea,A,0.2365300565412708,0.2341678939617084,4.16,D,0,0.002362162579562399,0.002362162579562399,0.24038461538461536,-0.0038545588433445688,-0.016034964788313455,False,-1.0,4.06,4.16,0.2402123683067629,0.2341678939617084,-0.039687970442440657,-0.016034964788313455,1
2022-23,2022-08-06,Everton,Chelsea,A,0.267368321836452,0.14138438880706924,6.89,H,0,0.12598393302938274,0.12598393302938274,0.14513788098693758,0.1222304408495144,0.842167737453154,True,-1.0,6.04,6.89,0.16146725419295652,0.14138438880706924,0.61490466389217,0.842167737453154,0
2022-23,2022-08-06,Fulham,Liverpool,D,0.7845421674827581,0.7568196939454424,1.29,A,0,0.027722473537315717,0.027722473537315717,0.7751937984496123,0.009348369033145731,0.012059396052757965,True,-1.0,1.28,1.29,0.7575335792330712,0.7568196939454424,0.004213974377930363,0.012059396052757965,2
