Season,Date,FixturesOnDate,ModelMeanLogLoss,MarketMeanLogLoss,MeanLossDifference
2020-21,2021-04-23,1,1.6770704932918843,1.3614894346540276,0.3155810586378567
2020-21,2021-04-24,3,1.2936795391566915,1.488808139856525,-0.1951286006998333
2020-21,2021-04-25,3,1.3805247651177746,1.3247981133616398,0.05572665175613478
2020-21,2021-04-26,1,0.32124027092678487,0.39048909147580396,-0.0692488205490191
2020-21,2021-04-30,1,1.332995262509393,1.3609130950763342,-0.027917832566941136
2020-21,2021-05-01,4,0.8126479057082022,0.7190072486984109,0.09364065700979136
2020-21,2021-05-02,2,0.4816020273830487,0.5276721980641168,-0.0460701706810681
2020-21,2021-05-03,2,1.2552493691845181,1.0255893127364775,0.22966005644804055
2020-21,2021-05-07,1,2.065520277394926,2.1855463545346625,-0.12002607713973656
2020-21,2021-05-08,4,1.159340481887329,1.036139334811369,0.12320114707596008
2020-21,2021-05-09,4,0.8929335787401333,0.9547140370417301,-0.06178045830159673
2020-21,2021-05-10,1,1.0937742641431192,1.2537143155219024,-0.1599400513787832
2020-21,2021-05-11,2,1.4769106484202574,0.6930694223388135,0.7838412260814438
2020-21,2021-05-12,1,1.4082955581485068,1.5096043916280055,-0.1013088334794987
2020-21,2021-05-13,2,1.6582712405962172,1.0829851500183914,0.5752860905778259
2020-21,2021-05-14,1,0.42601228856685863,0.3332228165314823,0.09278947203537635
2020-21,2021-05-15,3,1.1254003769685992,0.900316930541155,0.22508344642744407
2020-21,2021-05-16,4,1.1629623277939427,1.0390535025544083,0.1239088252395342
2020-21,2021-05-18,4,1.2770903445747555,1.3365318339936105,-0.059441489418855104
2020-21,2021-05-19,6,1.0152967573933749,0.7165185416638682,0.29877821572950664
2020-21,2021-05-23,10,0.7642719597249604,0.8938817436738382,-0.12960978394887776
2021-22,2021-08-13,1,1.2764388885307367,1.3944977316287903,-0.11805884309805359
2021-22,2021-08-14,7,0.746343677086208,0.694701428929281,0.051642248156926966
2021-22,2021-08-15,2,1.104673498602499,1.3131527364916977,-0.20847923788919864
2021-22,2021-08-21,6,0.8470533027485317,0.684140967322635,0.16291233542589675
2021-22,2021-08-22,3,1.027892067187351,1.0797879305885685,-0.051895863401217435
2021-22,2021-08-23,1,0.9156049647513831,0.9455532914578823,-0.029948326706499162
2021-22,2021-08-28,7,1.0963733401725035,1.0619959165504103,0.03437742362209321
2021-22,2021-08-29,3,0.8010522708760046,0.7671311454417221,0.033921125434282606
2021-22,2021-09-11,8,0.8750680589796194,0.7496606346609744,0.12540742431864502
2021-22,2021-09-12,1,0.49961682238506677,0.5305698926833495,-0.03095307029828276
2021-22,2021-09-13,1,0.6033518262903124,0.6006182685974166,0.0027335576928957384
2021-22,2021-09-17,1,1.3537889246223287,1.34231616070855,0.011472763913778605
2021-22,2021-09-18,6,0.9922973093700631,1.1401668124746447,-0.14786950310458172
2021-22,2021-09-19,3,0.8785242513901176,0.7848230415680569,0.09370120982206058
2021-22,2021-09-25,7,1.2223222051779883,1.2682144586687574,-0.045892253490769086
2021-22,2021-09-26,2,0.9807516841863451,1.0920457483611843,-0.11129406417483911
2021-22,2021-09-27,1,1.3508355157418666,1.1652723740305002,0.18556314171136634
2021-22,2021-10-02,6,1.0314030672169845,0.9452417385416504,0.08616132867533399
2021-22,2021-10-03,4,1.2403925936317237,1.2359135485153234,0.004479045116400238
2021-22,2021-10-16,7,0.8388935096408049,0.8385948056423206,0.00029870399848425496
2021-22,2021-10-17,2,1.2259624107607245,0.8787414145954962,0.34722099616522833
2021-22,2021-10-18,1,1.4035212619531736,1.4524889719658314,-0.04896771001265776
2021-22,2021-10-22,1,0.7473286028488256,0.7352655628230634,0.012063040025762195
2021-22,2021-10-23,6,1.0891260417074367,1.0066622963647636,0.08246374534267303
2021-22,2021-10-24,3,0.7864549898288518,0.8893822472414081,-0.10292725741255633
2021-22,2021-10-30,7,1.406897518637972,1.2967119872835777,0.11018553135439414
2021-22,2021-10-31,2,0.734493815523531,0.8508017344352476,-0.11630791891171666
2021-22,2021-11-01,1,0.7940533366493154,0.8541678232069831,-0.06011448655766771
2021-22,2021-11-05,1,0.8110244284410825,0.7963584168284265,0.014666011612656016
2021-22,2021-11-06,5,1.4358551928678298,1.2827485563608003,0.15310663650702955
2021-22,2021-11-07,4,1.1178049056630324,1.1052891654874166,0.012515740175615797
2021-22,2021-11-20,8,1.0834908677386879,1.1041378261808374,-0.020646958442149546
2021-22,2021-11-21,2,0.581525604141361,0.35684782472669174,0.22467777941466927
2021-22,2021-11-27,5,0.9840695684510941,0.8837575579269241,0.10031201052417016
2021-22,2021-11-28,4,0.8672388575940437,0.7830489848595956,0.0841898727344481
2021-22,2021-11-30,2,1.3199132262888464,1.0914325765191808,0.2284806497696657
2021-22,2021-12-01,6,0.8805102823986366,0.8112600731501095,0.06925020924852711
2021-22,2021-12-02,2,0.7920612233532918,0.654631047579229,0.13743017577406275
2021-22,2021-12-04,5,0.8087881814111946,0.858823116526317,-0.050034935115122615
2021-22,2021-12-05,4,0.8542537310399764,0.7710279592410636,0.08322577179891277
2021-22,2021-12-06,1,1.0855197501866791,1.2282485452817196,-0.14272879509504044
2021-22,2021-12-10,1,0.6160976430052983,0.9913770368103573,-0.3752793938050589
2021-22,2021-12-11,5,0.34723202679588616,0.32916228786139634,0.018069738934489814
2021-22,2021-12-12,3,0.8279279289785211,0.8954542030421976,-0.06752627406367646
2021-22,2021-12-14,2,0.48002887768077107,0.47344529363990606,0.006583584040865009
2021-22,2021-12-15,3,1.3321052154940258,1.2272679637386699,0.10483725175535608
2021-22,2021-12-16,2,1.172005319993046,1.0914194240792414,0.08058589591380456
2021-22,2021-12-18,1,0.44491444448553624,0.5054127120085197,-0.06049826752298343
2021-22,2021-12-19,3,1.099791985799144,0.9825128188763542,0.11727916692278972
2021-22,2021-12-26,6,0.840874201632318,0.6473802152909609,0.19349398634135706
2021-22,2021-12-27,1,1.6857703879147623,1.5795592138956849,0.10621117401907743
2021-22,2021-12-28,4,0.9850894961836149,1.1826693519333575,-0.19757985574974252
2021-22,2021-12-29,2,1.1242109040208275,0.9234817087698608,0.20072919525096666
2021-22,2021-12-30,1,0.39942186830875415,0.35275118228224517,0.04667068602650898
2021-22,2022-01-01,3,0.6367425582884731,0.6286097322940263,0.008132825994446832
2021-22,2022-01-02,4,1.1435395332554836,1.0488795200483956,0.09466001320708803
2021-22,2022-01-03,1,1.424971501239174,1.732853154323732,-0.30788165308455806
2021-22,2022-01-11,1,0.7044014443369424,0.8229901343895482,-0.11858869005260575
2021-22,2022-01-12,1,0.18011731084590935,0.3626507943988818,-0.18253348355297247
2021-22,2022-01-14,1,1.2795536678302688,1.2469727012099752,0.03258096662029364
2021-22,2022-01-15,5,1.082782429191188,1.081393960766461,0.0013884684247268964
2021-22,2022-01-16,2,1.0521820964499167,0.9594867074682873,0.09269538898162918
2021-22,2022-01-18,1,1.3217357593186347,1.3636324471048757,-0.041896687786241005
2021-22,2022-01-19,2,0.8004646543332602,0.7188213349475845,0.0816433193856757
2021-22,2022-01-21,1,2.0894473208741666,1.3788772555244888,0.7105700653496778
2021-22,2022-01-22,5,1.311199346409896,1.2607786961449914,0.05042065026490483
2021-22,2022-01-23,4,0.9001853628240506,1.010729866096454,-0.11054450327240353
2021-22,2022-02-05,1,1.468446352195364,1.2223698833563312,0.24607646883903267
2021-22,2022-02-08,3,0.8407491406425488,0.9689361810090295,-0.12818704036648076
2021-22,2022-02-09,4,1.0588992193433644,1.1385187672036605,-0.07961954786029625
2021-22,2022-02-10,2,0.5647208670091568,0.477917887817609,0.08680297919154782
2021-22,2022-02-12,5,0.9885238748312541,0.9364931823950962,0.05203069243615812
2021-22,2022-02-13,4,0.996405454888672,1.1013298663966093,-0.10492441150793738
2021-22,2022-02-15,1,0.7126449494805909,0.6290082081900907,0.08363674129050014
2021-22,2022-02-19,8,1.2201919640502583,1.1899438460964882,0.0302481179537702
2021-22,2022-02-20,2,0.8476186559946328,0.677760029662,0.16985862633263288
2021-22,2022-02-23,3,0.792771203165436,0.9222601201681964,-0.12948891700276036
2021-22,2022-02-24,1,0.7253259683316545,0.5420543610054754,0.1832716073261791
2021-22,2022-02-25,1,0.3883810594957154,0.4429015769758398,-0.05452051748012443
2021-22,2022-02-26,6,1.1454985109086835,1.07475326751375,0.07074524339493339
2021-22,2022-02-27,1,0.7966817594265766,0.6866352258758496,0.11004653355072702
