StrategyNumber,Strategy,Date,OpeningBankroll,Bets,WinningBets,DailyStaked,DailyExposureFraction,DailyProfit,ClosingBankroll,DailyExposureScale,DailyCapBinding,RunningBankrollPeak,DrawdownUnits,DrawdownPercentage
1,Flat stake,2022-11-05,97.49999999999999,1,0,1.0,0.010256410256410258,-1.0,96.49999999999999,1.0,False,112.00999999999999,15.510000000000005,0.1384697794839747
1,Flat stake,2022-11-06,96.49999999999999,1,0,1.0,0.010362694300518137,-1.0,95.49999999999999,1.0,False,112.00999999999999,16.510000000000005,0.14739755378984026
1,Flat stake,2022-11-12,95.49999999999999,1,1,1.0,0.010471204188481678,3.0300000000000002,98.52999999999999,1.0,False,112.00999999999999,13.480000000000004,0.12034639764306763
1,Flat stake,2023-01-03,98.52999999999999,1,0,1.0,0.010149193139145439,-1.0,97.52999999999999,1.0,False,112.00999999999999,14.480000000000004,0.12927417194893318
1,Flat stake,2023-02-11,97.52999999999999,2,0,2.0,0.020506510817184458,-2.0,95.52999999999999,1.0,False,112.00999999999999,16.480000000000004,0.14712972056066428
1,Flat stake,2023-02-25,95.52999999999999,2,0,2.0,0.020935831675913327,-2.0,93.52999999999999,1.0,False,112.00999999999999,18.480000000000004,0.16498526917239537
1,Flat stake,2023-02-26,93.52999999999999,1,1,1.0,0.01069175665561852,2.04,95.57,1.0,False,112.00999999999999,16.439999999999998,0.1467726095884296
1,Flat stake,2023-03-05,95.57,1,0,1.0,0.010463534581981794,-1.0,94.57,1.0,False,112.00999999999999,17.439999999999998,0.15570038389429514
1,Flat stake,2023-03-11,94.57,1,0,1.0,0.010574177857671566,-1.0,93.57,1.0,False,112.00999999999999,18.439999999999998,0.1646281582001607
1,Flat stake,2023-03-12,93.57,1,0,1.0,0.010687186063909374,-1.0,92.57,1.0,False,112.00999999999999,19.439999999999998,0.17355593250602624
1,Flat stake,2023-03-15,92.57,1,0,1.0,0.010802635843145728,-1.0,91.57,1.0,False,112.00999999999999,20.439999999999998,0.1824837068118918
1,Flat stake,2023-03-17,91.57,1,0,1.0,0.01092060718575953,-1.0,90.57,1.0,False,112.00999999999999,21.439999999999998,0.19141148111775733
1,Flat stake,2023-04-01,90.57,1,1,1.0,0.011041183614883517,5.06,95.63,1.0,False,112.00999999999999,16.379999999999995,0.14623694313007765
1,Flat stake,2023-04-04,95.63,1,0,1.0,0.010456969570218551,-1.0,94.63,1.0,False,112.00999999999999,17.379999999999995,0.15516471743594318
1,Flat stake,2023-04-08,94.63,1,0,1.0,0.010567473317129875,-1.0,93.63,1.0,False,112.00999999999999,18.379999999999995,0.16409249174180873
1,Flat stake,2023-04-16,93.63,1,0,1.0,0.010680337498664958,-1.0,92.63,1.0,False,112.00999999999999,19.379999999999995,0.1730202660476743
1,Flat stake,2023-05-25,92.63,1,0,1.0,0.010795638562020943,-1.0,91.63,1.0,False,112.00999999999999,20.379999999999995,0.18194804035353984
1,Flat stake,2023-08-12,91.63,2,0,2.0,0.021826912583215105,-2.0,89.63,1.0,False,112.00999999999999,22.379999999999995,0.19980358896527092
1,Flat stake,2023-08-14,89.63,1,0,1.0,0.011156978690170702,-1.0,88.63,1.0,False,112.00999999999999,23.379999999999995,0.20873136327113648
1,Flat stake,2023-08-19,88.63,1,0,1.0,0.01128286133363421,-1.0,87.63,1.0,False,112.00999999999999,24.379999999999995,0.21765913757700203
1,Flat stake,2023-08-25,87.63,1,0,1.0,0.011411617026132604,-1.0,86.63,1.0,False,112.00999999999999,25.379999999999995,0.2265869118828676
1,Flat stake,2023-08-26,86.63,1,0,1.0,0.011543345261456771,-1.0,85.63,1.0,False,112.00999999999999,26.379999999999995,0.23551468618873314
1,Flat stake,2023-09-02,85.63,1,1,1.0,0.01167815018101133,7.449999999999999,93.08,1.0,False,112.00999999999999,18.929999999999993,0.16900276761003477
1,Flat stake,2023-09-16,93.08,2,0,2.0,0.021486892995272885,-2.0,91.08,1.0,False,112.00999999999999,20.929999999999993,0.18685831622176585
1,Flat stake,2023-09-24,91.08,1,1,1.0,0.010979358805445762,3.0999999999999996,94.17999999999999,1.0,False,112.00999999999999,17.83,0.15918221587358272
1,Flat stake,2023-09-30,94.17999999999999,1,1,1.0,0.010617965597791464,4.7,98.88,1.0,False,112.00999999999999,13.129999999999995,0.11722167663601461
1,Flat stake,2023-10-27,98.88,1,0,1.0,0.01011326860841424,-1.0,97.88,1.0,False,112.00999999999999,14.129999999999995,0.12614945094188015
1,Flat stake,2023-10-28,97.88,1,1,1.0,0.010216591744993871,4.6,102.47999999999999,1.0,False,112.00999999999999,9.530000000000001,0.08508168913489869
1,Flat stake,2023-10-29,102.47999999999999,1,0,1.0,0.00975800156128025,-1.0,101.47999999999999,1.0,False,112.00999999999999,10.530000000000001,0.09400946344076423
1,Flat stake,2023-11-04,101.47999999999999,1,0,1.0,0.009854158454867956,-1.0,100.47999999999999,1.0,False,112.00999999999999,11.530000000000001,0.10293723774662979
1,Flat stake,2023-11-05,100.47999999999999,1,0,1.0,0.009952229299363059,-1.0,99.47999999999999,1.0,False,112.00999999999999,12.530000000000001,0.11186501205249533
1,Flat stake,2023-11-06,99.47999999999999,1,0,1.0,0.010052271813429835,-1.0,98.47999999999999,1.0,False,112.00999999999999,13.530000000000001,0.12079278635836088
1,Flat stake,2023-11-11,98.47999999999999,1,0,1.0,0.01015434606011373,-1.0,97.47999999999999,1.0,False,112.00999999999999,14.530000000000001,0.12972056066422644
1,Flat stake,2023-11-25,97.47999999999999,2,1,2.0,0.020517029134181373,2.12,99.6,1.0,False,112.00999999999999,12.409999999999997,0.11079367913579143
1,Flat stake,2023-12-03,99.6,1,0,1.0,0.010040160642570281,-1.0,98.6,1.0,False,112.00999999999999,13.409999999999997,0.11972145344165698
1,Flat stake,2023-12-05,98.6,1,0,1.0,0.010141987829614604,-1.0,97.6,1.0,False,112.00999999999999,14.409999999999997,0.12864922774752252
1,Flat stake,2023-12-09,97.6,1,0,1.0,0.010245901639344263,-1.0,96.6,1.0,False,112.00999999999999,15.409999999999997,0.13757700205338808
1,Flat stake,2023-12-10,96.6,1,0,1.0,0.010351966873706004,-1.0,95.6,1.0,False,112.00999999999999,16.409999999999997,0.14650477635925363
1,Flat stake,2023-12-16,95.6,1,0,1.0,0.010460251046025106,-1.0,94.6,1.0,False,112.00999999999999,17.409999999999997,0.15543255066511916
1,Flat stake,2023-12-26,94.6,2,1,2.0,0.021141649048625793,1.15,95.75,1.0,False,112.00999999999999,16.25999999999999,0.14516561021337374
1,Flat stake,2023-12-28,95.75,1,1,1.0,0.010443864229765013,9.81,105.56,1.0,False,112.00999999999999,6.449999999999989,0.057584144272832684
1,Flat stake,2024-02-04,105.56,1,1,1.0,0.009473285335354301,5.02,110.58,1.0,False,112.00999999999999,1.4299999999999926,0.012766717257387669
