Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,ComparisonLogLoss,PoissonLogLoss,ComparisonModel,LossDifference
2020-21,2020-11-06,Brighton,Burnley,2020-21,D,2.03325641169017,1.4060385401474707,Tuned Logistic Regression,0.6272178715426995
2020-21,2020-11-06,Southampton,Newcastle,2020-21,H,0.885809025522662,0.6736954365462563,Tuned Logistic Regression,0.21211358897640575
2020-21,2020-11-07,Chelsea,Sheffield United,2020-21,H,0.37620169194680614,0.3553085049783295,Tuned Logistic Regression,0.02089318696847664
2020-21,2020-11-07,Crystal Palace,Leeds,2020-21,H,0.925742007147939,0.9412913517830995,Tuned Logistic Regression,-0.015549344635160556
2020-21,2020-11-07,Everton,Man United,2020-21,A,1.170114276528911,1.335672322022867,Tuned Logistic Regression,-0.16555804549395603
2020-21,2020-11-07,West Ham,Fulham,2020-21,H,0.6525866742827818,0.5732339803622931,Tuned Logistic Regression,0.07935269392048871
2020-21,2020-11-08,Arsenal,Aston Villa,2020-21,A,1.4658547846531238,1.490211177555572,Tuned Logistic Regression,-0.024356392902448176
2020-21,2020-11-08,Leicester,Wolves,2020-21,H,0.709052676501528,0.5474737189271223,Tuned Logistic Regression,0.16157895757440577
2020-21,2020-11-08,Man City,Liverpool,2020-21,D,1.518242581954958,1.4293920304722347,Tuned Logistic Regression,0.08885055148272336
2020-21,2020-11-08,West Brom,Tottenham,2020-21,A,0.4703381753492333,0.49673539579130865,Tuned Logistic Regression,-0.026397220442075375
2020-21,2020-11-21,Aston Villa,Brighton,2020-21,A,1.5079537237513816,1.3111447235861724,Tuned Logistic Regression,0.1968090001652092
2020-21,2020-11-21,Man United,West Brom,2020-21,H,0.4128300842574415,0.3031584068714519,Tuned Logistic Regression,0.1096716773859896
2020-21,2020-11-21,Newcastle,Chelsea,2020-21,A,0.6035115432138399,0.6101338270224576,Tuned Logistic Regression,-0.006622283808617624
2020-21,2020-11-21,Tottenham,Man City,2020-21,H,0.6925652359239256,0.5978500038806771,Tuned Logistic Regression,0.0947152320432485
2020-21,2020-11-22,Fulham,Everton,2020-21,A,0.6835784192604277,0.6240375636521357,Tuned Logistic Regression,0.05954085560829203
2020-21,2020-11-22,Leeds,Arsenal,2020-21,D,1.480432312934505,1.3772145737460046,Tuned Logistic Regression,0.1032177391885003
2020-21,2020-11-22,Liverpool,Leicester,2020-21,H,0.2519947701421912,0.2165373311385167,Tuned Logistic Regression,0.035457439003674485
2020-21,2020-11-22,Sheffield United,West Ham,2020-21,A,1.0583264463058344,1.092262942976767,Tuned Logistic Regression,-0.03393649667093257
2020-21,2020-11-23,Burnley,Crystal Palace,2020-21,H,0.9119502532362888,0.7737799570008262,Tuned Logistic Regression,0.1381702962354625
2020-21,2020-11-23,Wolves,Southampton,2020-21,D,1.2887166336041131,1.3552031412519798,Tuned Logistic Regression,-0.06648650764786668
2020-21,2020-11-27,Crystal Palace,Newcastle,2020-21,A,1.281088235951442,1.3200047181128776,Tuned Logistic Regression,-0.03891648216143562
2020-21,2020-11-28,Brighton,Liverpool,2020-21,D,2.1270946106193476,2.0355953324297356,Tuned Logistic Regression,0.09149927818961201
2020-21,2020-11-28,Everton,Leeds,2020-21,A,1.6859417091756044,1.6983439736680117,Tuned Logistic Regression,-0.012402264492407333
2020-21,2020-11-28,Man City,Burnley,2020-21,H,0.32888612747616935,0.2651827521392678,Tuned Logistic Regression,0.06370337533690157
2020-21,2020-11-28,West Brom,Sheffield United,2020-21,H,0.791735649718979,0.9626280429896356,Tuned Logistic Regression,-0.17089239327065653
2020-21,2020-11-29,Arsenal,Wolves,2020-21,A,1.2157357123529708,1.2468388691116368,Tuned Logistic Regression,-0.03110315675866593
