Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,ActualHomeGoals,ActualAwayGoals,ExpectedHomeGoals,ExpectedAwayGoals
2020-21,2021-01-26,Newcastle,Leeds,1,2020-21,1,2,1.6688870968904155,1.2778709326894069
2020-21,2021-01-26,Southampton,Arsenal,1,2020-21,1,3,1.1268283374555135,1.0279212583096953
2020-21,2021-01-26,West Brom,Man City,1,2020-21,0,5,0.7968896937518,2.340490435523441
2020-21,2021-01-27,Brighton,Fulham,1,2020-21,0,0,1.7879062463578244,0.8420948179956727
2020-21,2021-01-27,Burnley,Aston Villa,1,2020-21,3,2,1.251737489006961,1.322001916623086
2020-21,2021-01-27,Chelsea,Wolves,1,2020-21,0,0,1.8693491682745365,1.0159215680464322
2020-21,2021-01-27,Everton,Leicester,1,2020-21,1,1,0.9129467859820574,1.0134586188602872
2020-21,2021-01-27,Man United,Sheffield United,1,2020-21,1,2,2.4273470377386226,0.5823784000313437
2020-21,2021-01-28,Tottenham,Liverpool,1,2020-21,1,3,1.634990992207986,1.2494686047532537
2020-21,2021-01-30,Arsenal,Man United,1,2020-21,0,0,1.0552209355392974,1.5940583961930392
2020-21,2021-01-30,Crystal Palace,Wolves,1,2020-21,1,0,1.2496112559555774,1.670295257904935
2020-21,2021-01-30,Everton,Newcastle,1,2020-21,0,2,1.5535623042640443,0.4561258640245426
2020-21,2021-01-30,Man City,Sheffield United,1,2020-21,1,0,2.419102350720271,0.5099804924387841
2020-21,2021-01-30,Southampton,Aston Villa,1,2020-21,0,1,1.604759107598861,0.9605945726209696
2020-21,2021-01-30,West Brom,Fulham,1,2020-21,2,2,1.4737295479897894,1.2404112652790278
2020-21,2021-01-31,Brighton,Tottenham,1,2020-21,1,0,1.1246579329539295,1.9476154908099554
2020-21,2021-01-31,Chelsea,Burnley,1,2020-21,2,0,1.956989492607279,0.8074083306271328
2020-21,2021-01-31,Leicester,Leeds,1,2020-21,1,3,2.018924417004564,1.0299287151403753
2020-21,2021-01-31,West Ham,Liverpool,1,2020-21,1,3,1.1407048852771324,2.2066848766599336
2020-21,2021-02-02,Man United,Southampton,1,2020-21,9,0,2.2515402347867193,0.8530770587604587
2020-21,2021-02-02,Newcastle,Crystal Palace,1,2020-21,1,2,1.3038422382724528,1.2748431511962652
2020-21,2021-02-02,Sheffield United,West Brom,1,2020-21,2,1,1.617315362934573,0.7146306026477129
2020-21,2021-02-02,Wolves,Arsenal,1,2020-21,2,1,1.338408882733997,1.0166550424688552
2020-21,2021-02-03,Aston Villa,West Ham,1,2020-21,1,3,0.9327459773621856,1.2818241158164547
2020-21,2021-02-03,Burnley,Man City,1,2020-21,0,2,0.8646125637066273,2.2230924462369397
2020-21,2021-02-03,Fulham,Leicester,1,2020-21,0,2,0.7778871716662075,1.73987257278433
2020-21,2021-02-03,Leeds,Everton,1,2020-21,1,2,1.7434807823221825,0.8997805113303858
2020-21,2021-02-03,Liverpool,Brighton,1,2020-21,0,1,2.800419527474962,0.4743897126050394
2020-21,2021-02-04,Tottenham,Chelsea,1,2020-21,0,1,1.5775801089597126,0.7522388865297778
2020-21,2021-02-06,Aston Villa,Arsenal,1,2020-21,1,0,1.0983296238102622,0.8894324307635642
2020-21,2021-02-06,Burnley,Brighton,1,2020-21,1,1,1.1412122914243699,1.082935769162814
2020-21,2021-02-06,Fulham,West Ham,1,2020-21,0,0,1.0263326643130857,1.0923674819288514
2020-21,2021-02-06,Man United,Everton,1,2020-21,3,3,2.2081873765674933,0.8662470541211453
2020-21,2021-02-06,Newcastle,Southampton,1,2020-21,3,2,1.3612762880425997,1.2384835072789546
2020-21,2021-02-07,Liverpool,Man City,1,2020-21,1,4,1.6803501407268613,1.1693769919400347
2020-21,2021-02-07,Sheffield United,Chelsea,1,2020-21,1,2,1.0516919008116175,1.6339607086698427
2020-21,2021-02-07,Tottenham,West Brom,1,2020-21,2,0,2.186182382295992,0.4054083149771496
2020-21,2021-02-07,Wolves,Leicester,1,2020-21,0,0,1.1308827596921764,1.4177344660080342
2020-21,2021-02-08,Leeds,Crystal Palace,1,2020-21,2,0,1.340333477877779,0.9583976423851417
2020-21,2021-02-13,Brighton,Aston Villa,1,2020-21,0,0,1.6719389348013256,1.2120522492085966
2020-21,2021-02-13,Crystal Palace,Burnley,1,2020-21,0,3,1.5599865612927357,1.0880513809242311
2020-21,2021-02-13,Leicester,Liverpool,1,2020-21,3,1,1.4226284335282326,1.3084742268573286
2020-21,2021-02-13,Man City,Tottenham,1,2020-21,3,0,2.2642115369725544,0.7201828497461258
2020-21,2021-02-14,Arsenal,Leeds,1,2020-21,4,2,1.9184738751870873,1.044273923625522
2020-21,2021-02-14,Everton,Fulham,1,2020-21,0,2,1.639885849729709,0.656741741390929
2020-21,2021-02-14,Southampton,Wolves,1,2020-21,1,2,1.4648190288883376,1.0108052385419308
2020-21,2021-02-14,West Brom,Man United,1,2020-21,1,1,0.7027571592153519,2.343373930613774
2020-21,2021-02-15,Chelsea,Newcastle,1,2020-21,2,0,2.2255486020091646,0.6532929636436795
2020-21,2021-02-15,West Ham,Sheffield United,1,2020-21,3,0,1.9579486743551282,0.7006494910968433
2020-21,2021-02-17,Burnley,Fulham,1,2020-21,1,1,1.323754613964393,1.1822100347849058
2020-21,2021-02-17,Everton,Man City,1,2020-21,1,3,0.969267964381437,1.3150251764929073
2020-21,2021-02-19,Wolves,Leeds,1,2020-21,1,0,1.7739290020482708,1.2564663416976196
2020-21,2021-02-20,Burnley,West Brom,1,2020-21,0,0,2.0611312745478245,0.6532166577928187
2020-21,2021-02-20,Fulham,Sheffield United,1,2020-21,1,0,1.6597461212403877,0.6602988181386331
2020-21,2021-02-20,Liverpool,Everton,1,2020-21,0,2,2.7182818590675497,0.6399223660795823
2020-21,2021-02-20,Southampton,Chelsea,1,2020-21,1,1,1.081198421831942,1.2009331989429992
2020-21,2021-02-21,Arsenal,Man City,1,2020-21,0,1,1.0383341873654466,1.850423889232018
2020-21,2021-02-21,Aston Villa,Leicester,1,2020-21,1,2,0.8720677534067166,1.285863522142703
2020-21,2021-02-21,Man United,Newcastle,1,2020-21,3,1,2.456693850357971,0.4747105202572675
2020-21,2021-02-21,West Ham,Tottenham,1,2020-21,2,1,1.851470227524651,1.0327493685216393
2020-21,2021-02-22,Brighton,Crystal Palace,1,2020-21,1,2,1.5190885322542689,1.0221178709315155
2020-21,2021-02-23,Leeds,Southampton,1,2020-21,3,0,1.3529844834543012,1.2774936635335583
2020-21,2021-02-27,Leeds,Aston Villa,1,2020-21,0,1,1.5876543025268859,1.0347664442313544
2020-21,2021-02-27,Man City,West Ham,1,2020-21,2,1,2.0742926613203676,0.7756541380510262
2020-21,2021-02-27,Newcastle,Wolves,1,2020-21,1,1,1.2115151496009555,1.5138103434988093
2020-21,2021-02-27,West Brom,Brighton,1,2020-21,1,0,1.2221542929043614,1.2048037239286666
2020-21,2021-02-28,Chelsea,Man United,1,2020-21,0,0,1.1476775753785033,1.4908275234386776
2020-21,2021-02-28,Crystal Palace,Fulham,1,2020-21,0,0,1.377220954796253,1.013554041654191
2020-21,2021-02-28,Leicester,Arsenal,1,2020-21,1,3,1.9943807133554143,0.8840719789380913
2020-21,2021-02-28,Sheffield United,Liverpool,1,2020-21,0,2,1.126945527238832,1.9583504478687632
2020-21,2021-02-28,Tottenham,Burnley,1,2020-21,4,0,1.6728856821521345,0.6972778331808104
2020-21,2021-03-01,Everton,Southampton,1,2020-21,1,0,1.6381060033607802,0.5834665416750083
2020-21,2021-03-02,Man City,Wolves,1,2020-21,4,1,2.7959982285744793,0.7558845799643368
2020-21,2021-03-03,Burnley,Leicester,1,2020-21,1,1,1.1492492905738008,1.5872985496237624
2020-21,2021-03-03,Crystal Palace,Man United,1,2020-21,0,0,0.7189995709042084,2.287994711453052
2020-21,2021-03-03,Sheffield United,Aston Villa,1,2020-21,1,0,1.7895554978348196,0.9865285765902592
2020-21,2021-03-04,Fulham,Tottenham,1,2020-21,0,1,1.1906013323972067,1.4567509126576572
2020-21,2021-03-04,Liverpool,Chelsea,1,2020-21,0,1,2.330705155724356,0.6556609675039612
2020-21,2021-03-04,West Brom,Everton,1,2020-21,0,1,1.0665886064900327,1.9110268831130808
2020-21,2021-03-06,Aston Villa,Wolves,1,2020-21,0,0,1.077602460621063,0.9783024410186694
2020-21,2021-03-06,Brighton,Leicester,1,2020-21,1,2,0.8540987009798557,1.7462827579263966
