HomeAlpha,AwayAlpha,ValidationLogLoss,ValidationBrierScore,ValidationAccuracy,HomeGoalMAE,AwayGoalMAE,MeanPredictedHomeGoals,MeanPredictedAwayGoals
0.001,1.0,0.9308060582854737,0.5494655026401348,0.5868421052631579,1.0362178609288806,0.9168630768634543,1.6381372996735475,1.2608132038372333
1.0,1.0,0.9356137850574228,0.5526357591211041,0.5815789473684211,1.0273260051091133,0.9168630768634543,1.588322927491855,1.2608132038372333
10.0,0.001,0.9368959538273471,0.5528677464269067,0.5894736842105263,1.0497107519919242,0.9215336132319366,1.545949893969198,1.2801086977817087
10.0,0.01,0.937323884099081,0.5532345540106389,0.5868421052631579,1.0497107519919242,0.9216225330830531,1.545949893969198,1.2805722478278554
10.0,0.1,0.939249672871823,0.554691168169413,0.5894736842105263,1.0497107519919242,0.9206116846012556,1.545949893969198,1.2802533430180412
0.0,10.0,0.9393050843548323,0.555408739553738,0.5789473684210527,1.0389694861206298,0.9266535307980223,1.6430898545323618,1.2386424483530143
0.01,10.0,0.9421525587628983,0.5566141729446205,0.5868421052631579,1.0339479589303828,0.9266535307980223,1.635896644057379,1.2386424483530143
0.1,10.0,0.942436405072761,0.556750991498619,0.5868421052631579,1.0280298413509374,0.9266535307980223,1.6266205869861616,1.2386424483530143
0.001,10.0,0.9427810498530261,0.5570083254869532,0.5815789473684211,1.0362178609288806,0.9266535307980223,1.6381372996735475,1.2386424483530143
10.0,1.0,0.9484425375309441,0.5609775843297578,0.5894736842105263,1.0497107519919242,0.9168630768634543,1.545949893969198,1.2608132038372333
1.0,10.0,0.9499946928576246,0.5618190206234118,0.5921052631578947,1.0273260051091133,0.9266535307980223,1.588322927491855,1.2386424483530143
0.1,0.0,0.9531201459347062,0.5455814558448636,0.5921052631578947,1.0280298413509374,401.03225573712655,1.6266205869861616,401.3914497126051
0.001,0.0,0.9534616166924056,0.5465775559465897,0.5842105263157895,1.0362178609288806,401.03225573712655,1.6381372996735475,401.3914497126051
0.01,0.0,0.953670592711799,0.5460033752438618,0.5868421052631579,1.0339479589303828,401.03225573712655,1.635896644057379,401.3914497126051
100.0,0.001,0.953746077013845,0.5641817072725949,0.5815789473684211,1.0981866130035165,0.9215336132319366,1.5295469739550418,1.2801086977817087
100.0,0.01,0.9541687287675396,0.5645274226523591,0.5736842105263158,1.0981866130035165,0.9216225330830531,1.5295469739550418,1.2805722478278554
0.0,100.0,0.9556096919052144,0.566253152948891,0.6,1.0389694861206298,0.963998279613456,1.6430898545323618,1.2348442793000314
1.0,0.0,0.9558952763214883,0.5479611162684753,0.5973684210526315,1.0273260051091133,401.03225573712655,1.588322927491855,401.3914497126051
100.0,0.1,0.9562747955808244,0.5660788434300338,0.5710526315789474,1.0981866130035165,0.9206116846012556,1.5295469739550418,1.2802533430180412
0.01,100.0,0.9582298469847519,0.5672778295920845,0.6,1.0339479589303828,0.963998279613456,1.635896644057379,1.2348442793000314
0.1,100.0,0.9586793992176198,0.5675092475113375,0.5947368421052631,1.0280298413509374,0.963998279613456,1.6266205869861616,1.2348442793000314
0.001,100.0,0.9588644599663011,0.5677007915843395,0.5947368421052631,1.0362178609288806,0.963998279613456,1.6381372996735475,1.2348442793000314
10.0,0.0,0.9641439497004186,0.554164926582181,0.5868421052631579,1.0497107519919242,401.03225573712655,1.545949893969198,401.3914497126051
100.0,1.0,0.9674169091895014,0.5739163674888665,0.5736842105263158,1.0981866130035165,0.9168630768634543,1.5295469739550418,1.2608132038372333
1.0,100.0,0.9677007279775305,0.5736510424168407,0.5973684210526315,1.0273260051091133,0.963998279613456,1.588322927491855,1.2348442793000314
10.0,10.0,0.9677330325926271,0.5738906890221145,0.5736842105263158,1.0497107519919242,0.9266535307980223,1.545949893969198,1.2386424483530143
