Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,Fold,Model,CalibrationMethod,CalibrationTrainingStart,CalibrationTrainingEnd,PredictedOutcome,Probability_H,Probability_D,Probability_A
2021-22,2021-08-28,West Ham,Crystal Palace,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-08-29,Burnley,Leeds,2021-22,D,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.1857142857142857,0.2571428571428572,0.5571428571428572
2021-22,2021-08-29,Tottenham,Watford,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-08-29,Wolves,Man United,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.09025948189926956,0.21481359350147822,0.6949269245992522
2021-22,2021-09-11,Arsenal,Norwich,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.4447362510150837,0.20621317621853238,0.34905057276638385
2021-22,2021-09-11,Brentford,Brighton,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.32353188124158805,0.22398361009033022,0.4524845086680819
2021-22,2021-09-11,Chelsea,Aston Villa,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.549648762109149,0.1672508953613376,0.28310034252951344
2021-22,2021-09-11,Crystal Palace,Tottenham,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.14241698048613488,0.2122560766860664,0.6453269428277987
2021-22,2021-09-11,Leicester,Man City,2021-22,A,1,Tuned Random Forest,Isotonic,2020-21,2020-21,A,0.13676498215292127,0.20383242532406534,0.6594025925230134
2021-22,2021-09-11,Man United,Newcastle,2021-22,H,1,Tuned Random Forest,Isotonic,2020-21,2020-21,H,0.6452688620258441,0.157565652355148,0.19716548561900793
