Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2024-25,2024-09-30,Bournemouth,Southampton,5,2024-25,Tuned Random Forest,H,H,0.5466235903350936,0.2619753731338171,0.1914010365310897
2024-25,2024-10-05,Arsenal,Southampton,5,2024-25,Tuned Random Forest,H,H,0.8090326319780815,0.1137824263282903,0.0771849416936287
2024-25,2024-10-05,Brentford,Wolves,5,2024-25,Tuned Random Forest,H,H,0.4955627138401157,0.2932970748300424,0.2111402113298424
2024-25,2024-10-05,Crystal Palace,Liverpool,5,2024-25,Tuned Random Forest,A,A,0.1464125399837687,0.1956814793283668,0.6579059806878645
2024-25,2024-10-05,Everton,Newcastle,5,2024-25,Tuned Random Forest,D,A,0.2298758492271845,0.2237125390111778,0.5464116117616372
2024-25,2024-10-05,Leicester,Bournemouth,5,2024-25,Tuned Random Forest,H,H,0.3600069389501014,0.2851157164836321,0.3548773445662663
2024-25,2024-10-05,Man City,Fulham,5,2024-25,Tuned Random Forest,H,H,0.781193011322834,0.1280778303555615,0.090729158321605
2024-25,2024-10-05,West Ham,Ipswich,5,2024-25,Tuned Random Forest,H,H,0.4824089898840065,0.2741033011470049,0.2434877089689887
2024-25,2024-10-06,Aston Villa,Man United,5,2024-25,Tuned Random Forest,D,H,0.542740397710019,0.2564621434403556,0.2007974588496256
2024-25,2024-10-06,Brighton,Tottenham,5,2024-25,Tuned Random Forest,H,A,0.3391606559373313,0.2742812184995506,0.3865581255631172
2024-25,2024-10-06,Chelsea,Nott'm Forest,5,2024-25,Tuned Random Forest,D,H,0.7315624250452665,0.1568136445974872,0.1116239303572469
2024-25,2024-10-19,Bournemouth,Arsenal,5,2024-25,Tuned Random Forest,H,A,0.132858019188793,0.1955512666771663,0.6715907141340414
2024-25,2024-10-19,Fulham,Aston Villa,5,2024-25,Tuned Random Forest,A,A,0.2876996710359986,0.2237677482438611,0.4885325807201399
2024-25,2024-10-19,Ipswich,Everton,5,2024-25,Tuned Random Forest,A,H,0.3803888205284668,0.2839841257077944,0.3356270537637379
2024-25,2024-10-19,Man United,Brentford,5,2024-25,Tuned Random Forest,H,H,0.5231888674392053,0.2575615192887397,0.2192496132720557
2024-25,2024-10-19,Newcastle,Brighton,5,2024-25,Tuned Random Forest,A,H,0.5105805282289341,0.2659215084093743,0.2234979633616923
2024-25,2024-10-19,Southampton,Leicester,5,2024-25,Tuned Random Forest,A,A,0.2497090934891798,0.2283353792152782,0.521955527295542
2024-25,2024-10-19,Tottenham,West Ham,5,2024-25,Tuned Random Forest,H,H,0.5538037256747357,0.2570497939023916,0.1891464804228729
2024-25,2024-10-20,Liverpool,Chelsea,5,2024-25,Tuned Random Forest,H,H,0.614892709383355,0.2371874964284184,0.1479197941882268
2024-25,2024-10-20,Wolves,Man City,5,2024-25,Tuned Random Forest,A,A,0.1357229395015788,0.1771377972049113,0.6871392632935104
2024-25,2024-10-21,Nott'm Forest,Crystal Palace,5,2024-25,Tuned Random Forest,H,H,0.402301339993156,0.2818054834599459,0.3158931765468978
2024-25,2024-10-25,Leicester,Nott'm Forest,5,2024-25,Tuned Random Forest,A,A,0.3565546709904321,0.284110283961399,0.3593350450481685
2024-25,2024-10-26,Aston Villa,Bournemouth,5,2024-25,Tuned Random Forest,D,H,0.6922440049675125,0.1794005992803652,0.128355395752122
2024-25,2024-10-26,Brentford,Ipswich,5,2024-25,Tuned Random Forest,H,H,0.4911545774472269,0.2857807751085389,0.2230646474442347
2024-25,2024-10-26,Brighton,Wolves,5,2024-25,Tuned Random Forest,D,H,0.6032827090778017,0.2454682597192174,0.1512490312029805
2024-25,2024-10-26,Everton,Fulham,5,2024-25,Tuned Random Forest,D,A,0.3592274265279218,0.2798203079964381,0.3609522654756398
2024-25,2024-10-26,Man City,Southampton,5,2024-25,Tuned Random Forest,H,H,0.8244160979215917,0.104910434429061,0.0706734676493474
2024-25,2024-10-27,Arsenal,Liverpool,5,2024-25,Tuned Random Forest,D,H,0.3969056140248415,0.3092866342029175,0.2938077517722408
2024-25,2024-10-27,Chelsea,Newcastle,5,2024-25,Tuned Random Forest,H,H,0.5255410062986674,0.2624402951100348,0.2120186985912981
2024-25,2024-10-27,Crystal Palace,Tottenham,5,2024-25,Tuned Random Forest,H,A,0.2171106748126646,0.2295232081268565,0.5533661170604787
2024-25,2024-10-27,West Ham,Man United,5,2024-25,Tuned Random Forest,H,A,0.2765134060867755,0.2409276268637002,0.4825589670495234
2024-25,2024-11-02,Bournemouth,Man City,5,2024-25,Tuned Random Forest,H,A,0.1468693468394643,0.194682282249151,0.6584483709113853
2024-25,2024-11-02,Ipswich,Leicester,5,2024-25,Tuned Random Forest,D,H,0.3865627133140369,0.2771527766779633,0.3362845100079993
2024-25,2024-11-02,Liverpool,Brighton,5,2024-25,Tuned Random Forest,H,H,0.7470527822681269,0.1399015627805625,0.113045654951311
2024-25,2024-11-02,Newcastle,Arsenal,5,2024-25,Tuned Random Forest,H,A,0.2247299297083314,0.2064072393878307,0.5688628309038377
2024-25,2024-11-02,Nott'm Forest,West Ham,5,2024-25,Tuned Random Forest,H,H,0.406781691705791,0.2718775617966053,0.3213407464976038
2024-25,2024-11-02,Southampton,Everton,5,2024-25,Tuned Random Forest,H,A,0.249854429625554,0.2385781217503246,0.5115674486241212
2024-25,2024-11-02,Wolves,Crystal Palace,5,2024-25,Tuned Random Forest,D,H,0.3731060991318025,0.2853260510389694,0.3415678498292274
2024-25,2024-11-03,Man United,Chelsea,5,2024-25,Tuned Random Forest,D,H,0.3797948939291952,0.3046792824274224,0.3155258236433825
2024-25,2024-11-03,Tottenham,Aston Villa,5,2024-25,Tuned Random Forest,H,H,0.3988556698859699,0.2960615405734005,0.3050827895406297
2024-25,2024-11-04,Fulham,Brentford,5,2024-25,Tuned Random Forest,H,H,0.40692979355828,0.2702093231165071,0.3228608833252124
2024-25,2024-11-09,Brentford,Bournemouth,5,2024-25,Tuned Random Forest,H,H,0.3737239541075679,0.2957570299580007,0.3305190159344308
2024-25,2024-11-09,Brighton,Man City,5,2024-25,Tuned Random Forest,H,A,0.1806258897017195,0.1901712438699718,0.6292028664283085
2024-25,2024-11-09,Crystal Palace,Fulham,5,2024-25,Tuned Random Forest,A,H,0.3909853169071166,0.2622677987248838,0.3467468843679996
2024-25,2024-11-09,Liverpool,Aston Villa,5,2024-25,Tuned Random Forest,H,H,0.7098074582916087,0.1671233627131781,0.1230691789952137
2024-25,2024-11-09,West Ham,Everton,5,2024-25,Tuned Random Forest,D,H,0.4896768181980416,0.2642557098485878,0.2460674719533707
2024-25,2024-11-09,Wolves,Southampton,5,2024-25,Tuned Random Forest,H,H,0.5726808510756652,0.2237444795378535,0.2035746693864815
2024-25,2024-11-10,Chelsea,Arsenal,5,2024-25,Tuned Random Forest,D,A,0.3622721904916267,0.2202619434461227,0.4174658660622505
2024-25,2024-11-10,Man United,Leicester,5,2024-25,Tuned Random Forest,H,H,0.62280228768105,0.2115643475110171,0.1656333648079328
2024-25,2024-11-10,Nott'm Forest,Newcastle,5,2024-25,Tuned Random Forest,A,A,0.3360706827037131,0.2378788770003035,0.4260504402959832
2024-25,2024-11-10,Tottenham,Ipswich,5,2024-25,Tuned Random Forest,A,H,0.6634737530410811,0.2121422037839582,0.12438404317496
2024-25,2024-11-23,Arsenal,Nott'm Forest,5,2024-25,Tuned Random Forest,H,H,0.7185365745210354,0.1700488649264419,0.1114145605525233
2024-25,2024-11-23,Aston Villa,Crystal Palace,5,2024-25,Tuned Random Forest,D,H,0.6378817990441769,0.2179946606798207,0.1441235402760021
2024-25,2024-11-23,Bournemouth,Brighton,5,2024-25,Tuned Random Forest,A,A,0.3415740681545244,0.2682259683673586,0.3901999634781168
2024-25,2024-11-23,Everton,Brentford,5,2024-25,Tuned Random Forest,D,H,0.4056165755600573,0.2616637436009573,0.332719680838985
2024-25,2024-11-23,Fulham,Wolves,5,2024-25,Tuned Random Forest,A,H,0.4880661163833443,0.2971009767422191,0.2148329068744366
2024-25,2024-11-23,Leicester,Chelsea,5,2024-25,Tuned Random Forest,A,A,0.2128449022915704,0.2187373169494731,0.5684177807589567
2024-25,2024-11-23,Man City,Tottenham,5,2024-25,Tuned Random Forest,A,H,0.7177143605732283,0.1545827209581484,0.1277029184686236
2024-25,2024-11-24,Ipswich,Man United,5,2024-25,Tuned Random Forest,D,A,0.2616709912060904,0.2526146401267208,0.4857143686671887
2024-25,2024-11-24,Southampton,Liverpool,5,2024-25,Tuned Random Forest,A,A,0.1129671890014915,0.1288756970407053,0.7581571139578029
2024-25,2024-11-25,Newcastle,West Ham,5,2024-25,Tuned Random Forest,A,H,0.6154116205240268,0.2295454674957447,0.1550429119802288
2024-25,2024-11-29,Brighton,Southampton,5,2024-25,Tuned Random Forest,D,H,0.6950007846657444,0.1862349764861054,0.1187642388481503
2024-25,2024-11-30,Brentford,Leicester,5,2024-25,Tuned Random Forest,H,H,0.4988083158115043,0.2887879605014373,0.2124037236870579
2024-25,2024-11-30,Crystal Palace,Newcastle,5,2024-25,Tuned Random Forest,D,A,0.2572733207256464,0.2509356705920814,0.4917910086822724
2024-25,2024-11-30,Nott'm Forest,Ipswich,5,2024-25,Tuned Random Forest,H,H,0.4725154653956405,0.2899207124006354,0.2375638222037244
2024-25,2024-11-30,West Ham,Arsenal,5,2024-25,Tuned Random Forest,A,A,0.1886538893291972,0.2029386355897038,0.6084074750810984
2024-25,2024-11-30,Wolves,Bournemouth,5,2024-25,Tuned Random Forest,A,H,0.3947969150889049,0.2754767837720808,0.3297263011390138
2024-25,2024-12-01,Chelsea,Aston Villa,5,2024-25,Tuned Random Forest,H,H,0.546826591456731,0.2493032676906381,0.2038701408526311
2024-25,2024-12-01,Liverpool,Man City,5,2024-25,Tuned Random Forest,H,H,0.5111001755998457,0.2313055759050786,0.2575942484950762
2024-25,2024-12-01,Man United,Everton,5,2024-25,Tuned Random Forest,H,H,0.6079094543690299,0.2326757665793576,0.1594147790516127
2024-25,2024-12-01,Tottenham,Fulham,5,2024-25,Tuned Random Forest,D,H,0.5999375627560561,0.2335803463073532,0.166482090936591
2024-25,2024-12-03,Ipswich,Crystal Palace,5,2024-25,Tuned Random Forest,A,H,0.4171669110389885,0.2596077205217594,0.3232253684392517
2024-25,2024-12-03,Leicester,West Ham,5,2024-25,Tuned Random Forest,H,A,0.3564127767801912,0.2607259280684564,0.3828612951513524
2024-25,2024-12-04,Arsenal,Man United,5,2024-25,Tuned Random Forest,H,H,0.6827478121598987,0.1841007285437595,0.1331514592963414
2024-25,2024-12-04,Aston Villa,Brentford,5,2024-25,Tuned Random Forest,H,H,0.4908528758138589,0.2855763945884524,0.2235707295976887
2024-25,2024-12-04,Everton,Wolves,5,2024-25,Tuned Random Forest,H,H,0.4862792545094105,0.2625489288735265,0.2511718166170632
2024-25,2024-12-04,Man City,Nott'm Forest,5,2024-25,Tuned Random Forest,H,H,0.7036100200972949,0.1727804140283531,0.123609565874352
2024-25,2024-12-04,Newcastle,Liverpool,5,2024-25,Tuned Random Forest,D,A,0.1852914817124343,0.1887540072955827,0.6259545109919824
2024-25,2024-12-04,Southampton,Chelsea,5,2024-25,Tuned Random Forest,A,A,0.1756457135542203,0.2025493521611262,0.6218049342846532
2024-25,2024-12-05,Bournemouth,Tottenham,5,2024-25,Tuned Random Forest,H,A,0.2605412624011398,0.2464847625073808,0.4929739750914793
2024-25,2024-12-05,Fulham,Brighton,5,2024-25,Tuned Random Forest,H,H,0.3774902602970574,0.28011939448778,0.342390345215162
2024-25,2024-12-07,Aston Villa,Southampton,5,2024-25,Tuned Random Forest,H,H,0.6821509652051571,0.1927823093340999,0.1250667254607425
2024-25,2024-12-07,Brentford,Newcastle,5,2024-25,Tuned Random Forest,H,A,0.3326829621602691,0.2445062048496927,0.4228108329900376
2024-25,2024-12-07,Crystal Palace,Man City,5,2024-25,Tuned Random Forest,D,A,0.192123686495217,0.1978820517942141,0.6099942617105691
2024-25,2024-12-07,Man United,Nott'm Forest,5,2024-25,Tuned Random Forest,A,H,0.5291895409524836,0.2559235608341726,0.2148868982133441
2024-25,2024-12-08,Fulham,Arsenal,5,2024-25,Tuned Random Forest,D,A,0.2004617218782987,0.2064735166693051,0.5930647614523957
2024-25,2024-12-08,Ipswich,Bournemouth,5,2024-25,Tuned Random Forest,A,A,0.3244869478979713,0.2639059013756695,0.4116071507263599
2024-25,2024-12-08,Leicester,Brighton,5,2024-25,Tuned Random Forest,D,A,0.2402646825692753,0.2375591121915641,0.5221762052391601
2024-25,2024-12-08,Tottenham,Chelsea,5,2024-25,Tuned Random Forest,A,H,0.3779646975773967,0.2844342091875872,0.3376010932350152
2024-25,2024-12-09,West Ham,Wolves,5,2024-25,Tuned Random Forest,H,H,0.5088000924359986,0.2641549136070216,0.2270449939569801
2024-25,2024-12-14,Arsenal,Everton,5,2024-25,Tuned Random Forest,D,H,0.7412796566295473,0.1462340984520866,0.1124862449183666
2024-25,2024-12-14,Liverpool,Fulham,5,2024-25,Tuned Random Forest,D,H,0.7736955941131474,0.1255775919716009,0.1007268139152521
2024-25,2024-12-14,Newcastle,Leicester,5,2024-25,Tuned Random Forest,H,H,0.6234415767098525,0.2190873437524058,0.1574710795377419
2024-25,2024-12-14,Nott'm Forest,Aston Villa,5,2024-25,Tuned Random Forest,H,A,0.3163763347086756,0.2316303363182489,0.4519933289730752
2024-25,2024-12-14,Wolves,Ipswich,5,2024-25,Tuned Random Forest,A,H,0.4400055675767781,0.2604663660061067,0.2995280664171147
2024-25,2024-12-15,Brighton,Crystal Palace,5,2024-25,Tuned Random Forest,A,H,0.5317270490891862,0.259776953942629,0.208495996968185
2024-25,2024-12-15,Chelsea,Brentford,5,2024-25,Tuned Random Forest,H,H,0.6822472458810384,0.1850227429877113,0.1327300111312502
2024-25,2024-12-15,Man City,Man United,5,2024-25,Tuned Random Forest,A,H,0.6820227260190387,0.177588782429494,0.1403884915514669
2024-25,2024-12-15,Southampton,Tottenham,5,2024-25,Tuned Random Forest,A,A,0.2289395953664913,0.2246035271691096,0.546456877464399
2024-25,2024-12-16,Bournemouth,West Ham,5,2024-25,Tuned Random Forest,D,H,0.472839118090826,0.2769944848071748,0.2501663971019991
2024-25,2024-12-21,Aston Villa,Man City,5,2024-25,Tuned Random Forest,H,A,0.3152045473648097,0.2123739335427962,0.472421519092394
2024-25,2024-12-21,Brentford,Nott'm Forest,5,2024-25,Tuned Random Forest,A,H,0.4034919288292822,0.2668526281520703,0.3296554430186472
2024-25,2024-12-21,Crystal Palace,Arsenal,5,2024-25,Tuned Random Forest,A,A,0.1987086107895372,0.2094834465558351,0.5918079426546276
2024-25,2024-12-21,Ipswich,Newcastle,5,2024-25,Tuned Random Forest,A,A,0.2732837656845409,0.2466624591992462,0.4800537751162129
2024-25,2024-12-21,West Ham,Brighton,5,2024-25,Tuned Random Forest,D,H,0.3964701981103672,0.273019725841853,0.3305100760477794
2024-25,2024-12-22,Everton,Chelsea,5,2024-25,Tuned Random Forest,D,A,0.1780643391281702,0.2001835059702873,0.6217521549015425
2024-25,2024-12-22,Fulham,Southampton,5,2024-25,Tuned Random Forest,D,H,0.6295309465229655,0.2237359849301877,0.1467330685468469
2024-25,2024-12-22,Leicester,Wolves,5,2024-25,Tuned Random Forest,A,H,0.4953921341553511,0.2637946000297627,0.2408132658148861
2024-25,2024-12-22,Man United,Bournemouth,5,2024-25,Tuned Random Forest,A,H,0.4620479538749198,0.277955282608688,0.2599967635163923
2024-25,2024-12-22,Tottenham,Liverpool,5,2024-25,Tuned Random Forest,A,A,0.2320290796234123,0.198401540493959,0.5695693798826287
2024-25,2024-12-26,Bournemouth,Crystal Palace,5,2024-25,Tuned Random Forest,D,H,0.4812680480773336,0.2824880301836435,0.2362439217390225
2024-25,2024-12-26,Chelsea,Fulham,5,2024-25,Tuned Random Forest,A,H,0.6521763783468187,0.2067484652279722,0.1410751564252085
2024-25,2024-12-26,Liverpool,Leicester,5,2024-25,Tuned Random Forest,H,H,0.8063829149625485,0.1134236367474484,0.0801934482900033
2024-25,2024-12-26,Man City,Everton,5,2024-25,Tuned Random Forest,D,H,0.7074575056393587,0.1678688821311086,0.1246736122295327
2024-25,2024-12-26,Newcastle,Aston Villa,5,2024-25,Tuned Random Forest,H,H,0.4746575534467644,0.2531743517842734,0.272168094768962
2024-25,2024-12-26,Nott'm Forest,Tottenham,5,2024-25,Tuned Random Forest,H,H,0.4055656314342371,0.2686270148982864,0.3258073536674762
2024-25,2024-12-26,Southampton,West Ham,5,2024-25,Tuned Random Forest,A,A,0.2528631281781582,0.2349611919908427,0.5121756798309989
2024-25,2024-12-26,Wolves,Man United,5,2024-25,Tuned Random Forest,H,A,0.2710423719855742,0.2432097788084617,0.485747849205964
2024-25,2024-12-27,Arsenal,Ipswich,5,2024-25,Tuned Random Forest,H,H,0.8008595797684921,0.1189588449950413,0.0801815752364672
2024-25,2024-12-27,Brighton,Brentford,5,2024-25,Tuned Random Forest,D,H,0.4934837653234785,0.2628209587873645,0.2436952758891572
2024-25,2024-12-29,Crystal Palace,Southampton,5,2024-25,Tuned Random Forest,H,H,0.5861615945481201,0.2267681607948272,0.1870702446570529
2024-25,2024-12-29,Everton,Nott'm Forest,5,2024-25,Tuned Random Forest,A,H,0.3754630192983355,0.2713331252425834,0.3532038554590808
2024-25,2024-12-29,Fulham,Bournemouth,5,2024-25,Tuned Random Forest,D,H,0.4034134283821716,0.29306799550758,0.3035185761102478
2024-25,2024-12-29,Leicester,Man City,5,2024-25,Tuned Random Forest,A,A,0.1953116926918503,0.2019805026890099,0.6027078046191398
2024-25,2024-12-29,Tottenham,Wolves,5,2024-25,Tuned Random Forest,D,H,0.6415010830917904,0.2178119026123304,0.1406870142958796
2024-25,2024-12-29,West Ham,Liverpool,5,2024-25,Tuned Random Forest,A,A,0.1685251055760929,0.1744778021107663,0.6569970923131412
2024-25,2024-12-30,Aston Villa,Brighton,5,2024-25,Tuned Random Forest,D,H,0.5147389449475089,0.2681328372209576,0.2171282178315335
2024-25,2024-12-30,Ipswich,Chelsea,5,2024-25,Tuned Random Forest,H,A,0.2072902243872685,0.2109771846748812,0.5817325909378499
2024-25,2024-12-30,Man United,Newcastle,5,2024-25,Tuned Random Forest,A,H,0.3674723099040858,0.3289602440452031,0.3035674460507111
2024-25,2025-01-01,Brentford,Arsenal,5,2024-25,Tuned Random Forest,A,A,0.1534470419888229,0.1764927446725524,0.6700602133386249
2024-25,2025-01-04,Aston Villa,Leicester,5,2024-25,Tuned Random Forest,H,H,0.6129577216953321,0.2279023925339535,0.1591398857707133
2024-25,2025-01-04,Bournemouth,Everton,5,2024-25,Tuned Random Forest,H,H,0.5132925630589682,0.2605228244247282,0.2261846125163039
2024-25,2025-01-04,Brighton,Arsenal,5,2024-25,Tuned Random Forest,D,A,0.1702395985958726,0.1779056863037702,0.6518547151003572
2024-25,2025-01-04,Crystal Palace,Chelsea,5,2024-25,Tuned Random Forest,D,A,0.2940699063323046,0.25938049541411,0.4465495982535856
