Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,Fold,Model,CalibrationMethod,CalibrationTrainingStart,CalibrationTrainingEnd,PredictedOutcome,Probability_H,Probability_D,Probability_A
2024-25,2024-11-09,Wolves,Southampton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.5375093233972955,0.21899531405215744,0.243495362550547
2024-25,2024-11-10,Chelsea,Arsenal,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.35260059921864545,0.22420105913247057,0.4231983416488839
2024-25,2024-11-10,Man United,Leicester,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.563342649415415,0.2295204846828597,0.20713686590172528
2024-25,2024-11-10,Nott'm Forest,Newcastle,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.35260059921864545,0.22420105913247057,0.4231983416488839
2024-25,2024-11-10,Tottenham,Ipswich,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6469190739903097,0.21068309718537717,0.14239782882431323
2024-25,2024-11-23,Arsenal,Nott'm Forest,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6899173870993938,0.18261216233176572,0.12747045056884038
2024-25,2024-11-23,Aston Villa,Crystal Palace,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6264034219228257,0.2040017342574078,0.16959484381976664
2024-25,2024-11-23,Bournemouth,Brighton,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3406486712459601,0.25049793180676977,0.4088533969472702
2024-25,2024-11-23,Everton,Brentford,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4126152015536073,0.24257592699334132,0.34480887145305134
2024-25,2024-11-23,Fulham,Wolves,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.48654895327327463,0.2617751992753091,0.25167584745141613
2024-25,2024-11-23,Leicester,Chelsea,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.20537269643348305,0.24012102319611256,0.5545062803704044
2024-25,2024-11-23,Man City,Tottenham,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6814428671662616,0.1803690670878275,0.1381880657459109
2024-25,2024-11-24,Ipswich,Man United,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25110712643202987,0.2498979428376541,0.49899493073031587
2024-25,2024-11-24,Southampton,Liverpool,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.06204797062868925,0.18394752354522917,0.7540045058260816
2024-25,2024-11-25,Newcastle,West Ham,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.563342649415415,0.2295204846828597,0.20713686590172528
2024-25,2024-11-29,Brighton,Southampton,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.657486680626607,0.19778938160998752,0.14472393776340547
2024-25,2024-11-30,Brentford,Leicester,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.48654895327327463,0.2617751992753091,0.25167584745141613
2024-25,2024-11-30,Crystal Palace,Newcastle,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25110712643202987,0.2498979428376541,0.49899493073031587
2024-25,2024-11-30,Nott'm Forest,Ipswich,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.4846723329635078,0.2607655317952984,0.25456213524119375
2024-25,2024-11-30,West Ham,Arsenal,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.1820739675493169,0.21288023259449151,0.6050457998561916
