Model,CalibrationMethod,EvaluationSeason,Outcome,PredictedProbability,ObservedIndicator,CalibrationBin
Independent Poisson,Original,2021-22,H,0.366413227584638,0,3
Independent Poisson,Original,2021-22,H,0.3470374140625513,0,3
Independent Poisson,Original,2021-22,H,0.5133526848018111,0,5
Independent Poisson,Original,2021-22,H,0.1320999763110079,1,1
Independent Poisson,Original,2021-22,H,0.5834921153916295,1,5
Independent Poisson,Original,2021-22,H,0.362492131501648,0,3
Independent Poisson,Original,2021-22,H,0.5861236655271759,1,5
Independent Poisson,Original,2021-22,H,0.4151486879858101,1,4
Independent Poisson,Original,2021-22,H,0.398146804537445,1,3
Independent Poisson,Original,2021-22,H,0.3792118664838581,0,3
Independent Poisson,Original,2021-22,H,0.783095731703808,0,7
Independent Poisson,Original,2021-22,H,0.6324948082938284,1,6
Independent Poisson,Original,2021-22,H,0.7390736137905535,0,7
Independent Poisson,Original,2021-22,H,0.6343224786748911,1,6
Independent Poisson,Original,2021-22,H,0.5349109045436247,0,5
Independent Poisson,Original,2021-22,H,0.9169377533785716,1,9
Independent Poisson,Original,2021-22,H,0.2162744716755316,0,2
Independent Poisson,Original,2021-22,H,0.1732262792727427,0,1
Independent Poisson,Original,2021-22,H,0.3226180895485395,0,3
Independent Poisson,Original,2021-22,H,0.7140177469032272,1,7
Independent Poisson,Original,2021-22,H,0.282742903074772,0,2
Independent Poisson,Original,2021-22,H,0.0732042404215007,0,0
Independent Poisson,Original,2021-22,H,0.4637358047690654,1,4
Independent Poisson,Original,2021-22,H,0.456536441704782,0,4
Independent Poisson,Original,2021-22,H,0.3199878774944222,0,3
Independent Poisson,Original,2021-22,H,0.2814609347618508,0,2
Independent Poisson,Original,2021-22,H,0.708595992972423,1,7
Independent Poisson,Original,2021-22,H,0.2441508289503728,0,2
Independent Poisson,Original,2021-22,H,0.0751635286534927,0,0
Independent Poisson,Original,2021-22,H,0.7776915926162679,0,7
Independent Poisson,Original,2021-22,H,0.2547765142653625,1,2
Independent Poisson,Original,2021-22,H,0.1165484234245776,0,1
Independent Poisson,Original,2021-22,H,0.4982111634076268,0,4
Independent Poisson,Original,2021-22,H,0.6975738921384549,0,6
Independent Poisson,Original,2021-22,H,0.3052550300292627,1,3
Independent Poisson,Original,2021-22,H,0.4881427506130856,1,4
Independent Poisson,Original,2021-22,H,0.5727515081878645,0,5
Independent Poisson,Original,2021-22,H,0.4076388063805776,1,4
Independent Poisson,Original,2021-22,H,0.4179853861608003,0,4
Independent Poisson,Original,2021-22,H,0.9495561108559424,1,9
Independent Poisson,Original,2021-22,H,0.4908719646296176,1,4
Independent Poisson,Original,2021-22,H,0.5661440499298098,1,5
Independent Poisson,Original,2021-22,H,0.8901275104683855,1,8
Independent Poisson,Original,2021-22,H,0.8749296304907244,1,8
Independent Poisson,Original,2021-22,H,0.0955827855636478,0,0
Independent Poisson,Original,2022-23,H,0.3066966108975374,0,3
Independent Poisson,Original,2022-23,H,0.3099450930111195,1,3
Independent Poisson,Original,2022-23,H,0.267368321836452,0,2
Independent Poisson,Original,2022-23,H,0.0828283490713047,0,0
Independent Poisson,Original,2022-23,H,0.4586949230112442,1,4
Independent Poisson,Original,2022-23,H,0.480873749606139,1,4
Independent Poisson,Original,2022-23,H,0.6098554007303938,1,6
Independent Poisson,Original,2022-23,H,0.4907583871994545,0,4
Independent Poisson,Original,2022-23,H,0.4987933886194916,0,4
Independent Poisson,Original,2022-23,H,0.1730703848842659,0,1
Independent Poisson,Original,2022-23,H,0.5783310095106853,1,5
Independent Poisson,Original,2022-23,H,0.3619281192933807,1,3
Independent Poisson,Original,2022-23,H,0.2931596826256288,1,2
Independent Poisson,Original,2022-23,H,0.4183187551858853,0,4
Independent Poisson,Original,2022-23,H,0.7833789075948545,1,7
Independent Poisson,Original,2022-23,H,0.2781649990990699,0,2
Independent Poisson,Original,2022-23,H,0.4610577951847873,0,4
Independent Poisson,Original,2022-23,H,0.4516716290679851,0,4
Independent Poisson,Original,2022-23,H,0.3797054160366417,1,3
Independent Poisson,Original,2022-23,H,0.7858819174187122,0,7
Independent Poisson,Original,2022-23,H,0.1351787851546332,0,1
Independent Poisson,Original,2022-23,H,0.3740671299139955,1,3
Independent Poisson,Original,2022-23,H,0.3427068986399377,0,3
Independent Poisson,Original,2022-23,H,0.2055512980199241,1,2
Independent Poisson,Original,2022-23,H,0.4944595961147264,0,4
Independent Poisson,Original,2022-23,H,0.6333982292143865,1,6
Independent Poisson,Original,2022-23,H,0.2476715058637641,1,2
Independent Poisson,Original,2022-23,H,0.1592541628898136,0,1
Independent Poisson,Original,2022-23,H,0.3769180901281473,0,3
Independent Poisson,Original,2022-23,H,0.2069297816563755,1,2
