Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2020-21,2020-11-22,Leeds,Arsenal,1,2020-21,Tuned Logistic Regression,D,H,0.4146391079330483,0.2275392989357914,0.3578215931311602
2020-21,2020-11-22,Liverpool,Leicester,1,2020-21,Tuned Logistic Regression,H,H,0.7772488029590383,0.1312001706255437,0.0915510264154179
2020-21,2020-11-22,Sheffield United,West Ham,1,2020-21,Tuned Logistic Regression,A,H,0.3830494105793121,0.2699144812450266,0.3470361081756614
2020-21,2020-11-23,Burnley,Crystal Palace,1,2020-21,Tuned Logistic Regression,H,H,0.4017399648635986,0.3428906104302666,0.2553694247061346
2020-21,2020-11-23,Wolves,Southampton,1,2020-21,Tuned Logistic Regression,D,A,0.3591886834185642,0.2756242831490689,0.3651870334323668
2020-21,2020-11-27,Crystal Palace,Newcastle,1,2020-21,Tuned Logistic Regression,A,H,0.4648655502747985,0.257399554884029,0.2777348948411724
2020-21,2020-11-28,Brighton,Liverpool,1,2020-21,Tuned Logistic Regression,D,A,0.1073043836308555,0.1191830645199776,0.7735125518491668
2020-21,2020-11-28,Everton,Leeds,1,2020-21,Tuned Logistic Regression,A,H,0.5675825572838098,0.2471475632816017,0.1852698794345884
2020-21,2020-11-28,Man City,Burnley,1,2020-21,Tuned Logistic Regression,H,H,0.7197249689796147,0.1879568718061987,0.0923181592141865
2020-21,2020-11-28,West Brom,Sheffield United,1,2020-21,Tuned Logistic Regression,H,H,0.4530577628948116,0.2164799053674804,0.3304623317377079
2020-21,2020-11-29,Arsenal,Wolves,1,2020-21,Tuned Logistic Regression,A,H,0.4530555364928811,0.2504526621550187,0.2964918013521002
2020-21,2020-11-29,Chelsea,Tottenham,1,2020-21,Tuned Logistic Regression,D,H,0.5302233065258904,0.2002654211068612,0.2695112723672483
2020-21,2020-11-29,Southampton,Man United,1,2020-21,Tuned Logistic Regression,A,H,0.3761274802013626,0.2521157077563487,0.3717568120422887
2020-21,2020-11-30,Leicester,Fulham,1,2020-21,Tuned Logistic Regression,A,H,0.718747230095693,0.1810007173738677,0.1002520525304393
2020-21,2020-11-30,West Ham,Aston Villa,1,2020-21,Tuned Logistic Regression,H,H,0.5764321049806679,0.2001817908302888,0.2233861041890432
2020-21,2020-12-05,Burnley,Everton,1,2020-21,Tuned Logistic Regression,D,H,0.3986179971242071,0.318653645952459,0.2827283569233338
2020-21,2020-12-05,Chelsea,Leeds,1,2020-21,Tuned Logistic Regression,H,H,0.7352261948041643,0.159036666797446,0.1057371383983897
2020-21,2020-12-05,Man City,Fulham,1,2020-21,Tuned Logistic Regression,H,H,0.667470008801159,0.2779706332988075,0.0545593579000335
2020-21,2020-12-05,West Ham,Man United,1,2020-21,Tuned Logistic Regression,A,A,0.3380523667930232,0.2236569049902368,0.4382907282167399
2020-21,2020-12-06,Liverpool,Wolves,1,2020-21,Tuned Logistic Regression,H,H,0.7985750072530008,0.1345040252222503,0.0669209675247488
2020-21,2020-12-06,Sheffield United,Leicester,1,2020-21,Tuned Logistic Regression,A,A,0.405005390950484,0.1835782261191292,0.4114163829303867
2020-21,2020-12-06,Tottenham,Arsenal,1,2020-21,Tuned Logistic Regression,H,H,0.6569355970905535,0.2052392213910186,0.1378251815184279
2020-21,2020-12-06,West Brom,Crystal Palace,1,2020-21,Tuned Logistic Regression,A,H,0.400993938451133,0.2739426728457089,0.3250633887031579
2020-21,2020-12-07,Brighton,Southampton,1,2020-21,Tuned Logistic Regression,A,H,0.3837014995300846,0.2557800569776008,0.3605184434923145
2020-21,2020-12-11,Leeds,West Ham,1,2020-21,Tuned Logistic Regression,A,H,0.4313128468953072,0.268045803969886,0.3006413491348068
2020-21,2020-12-12,Everton,Chelsea,1,2020-21,Tuned Logistic Regression,H,A,0.2511761038162966,0.2489710935964534,0.4998528025872499
2020-21,2020-12-12,Man United,Man City,1,2020-21,Tuned Logistic Regression,D,A,0.3122015080408563,0.302627294718994,0.3851711972401496
2020-21,2020-12-12,Newcastle,West Brom,1,2020-21,Tuned Logistic Regression,H,H,0.6063647147891281,0.2672293043366825,0.1264059808741893
2020-21,2020-12-12,Wolves,Aston Villa,1,2020-21,Tuned Logistic Regression,A,H,0.6383658741700196,0.1438090096906827,0.2178251161392977
2020-21,2020-12-13,Arsenal,Burnley,1,2020-21,Tuned Logistic Regression,A,H,0.6798247002350681,0.1262807359870395,0.1938945637778923
2020-21,2020-12-13,Crystal Palace,Tottenham,1,2020-21,Tuned Logistic Regression,D,A,0.2279173899534765,0.2335397413285102,0.5385428687180133
2020-21,2020-12-13,Fulham,Liverpool,1,2020-21,Tuned Logistic Regression,D,A,0.0512711882039587,0.0845719619267064,0.8641568498693349
2020-21,2020-12-13,Leicester,Brighton,1,2020-21,Tuned Logistic Regression,H,H,0.5716029302601091,0.2545297653889208,0.17386730435097
2020-21,2020-12-13,Southampton,Sheffield United,1,2020-21,Tuned Logistic Regression,H,H,0.642612288028034,0.2204822423253377,0.1369054696466283
2020-21,2020-12-15,Man City,West Brom,1,2020-21,Tuned Logistic Regression,D,H,0.8051593562362386,0.1606260851090245,0.0342145586547367
2020-21,2020-12-15,Wolves,Chelsea,1,2020-21,Tuned Logistic Regression,H,A,0.3281475654953497,0.2289328218210444,0.4429196126836057
2020-21,2020-12-16,Arsenal,Southampton,1,2020-21,Tuned Logistic Regression,D,H,0.4284162191203865,0.2151988452876652,0.3563849355919482
2020-21,2020-12-16,Fulham,Brighton,1,2020-21,Tuned Logistic Regression,D,H,0.4245923980105588,0.2803813368723149,0.2950262651171263
2020-21,2020-12-16,Leeds,Newcastle,1,2020-21,Tuned Logistic Regression,H,H,0.49521561526343,0.1709509949740317,0.3338333897625382
2020-21,2020-12-16,Leicester,Everton,1,2020-21,Tuned Logistic Regression,A,H,0.6374934348033018,0.2274633152837531,0.1350432499129451
2020-21,2020-12-16,Liverpool,Tottenham,1,2020-21,Tuned Logistic Regression,H,H,0.7179576602922201,0.1621693186051152,0.1198730211026647
2020-21,2020-12-16,West Ham,Crystal Palace,1,2020-21,Tuned Logistic Regression,D,A,0.2908689885267124,0.2891821550414577,0.4199488564318297
2020-21,2020-12-17,Aston Villa,Burnley,1,2020-21,Tuned Logistic Regression,D,H,0.4938220627764308,0.2872462007728416,0.2189317364507275
2020-21,2020-12-17,Sheffield United,Man United,1,2020-21,Tuned Logistic Regression,A,A,0.2773713676887169,0.1445542034891936,0.5780744288220894
2020-21,2020-12-19,Crystal Palace,Liverpool,1,2020-21,Tuned Logistic Regression,A,A,0.126222222472874,0.137045211491396,0.7367325660357299
2020-21,2020-12-19,Everton,Arsenal,1,2020-21,Tuned Logistic Regression,H,H,0.5278824153964905,0.2894212337860822,0.1826963508174271
2020-21,2020-12-19,Newcastle,Fulham,1,2020-21,Tuned Logistic Regression,D,H,0.4550072385369188,0.3709931031993231,0.173999658263758
2020-21,2020-12-19,Southampton,Man City,1,2020-21,Tuned Logistic Regression,A,H,0.4419972965890822,0.1909012046979181,0.3671014987129996
2020-21,2020-12-20,Brighton,Sheffield United,1,2020-21,Tuned Logistic Regression,D,H,0.5157425902027243,0.1633908709015307,0.320866538895745
2020-21,2020-12-20,Man United,Leeds,1,2020-21,Tuned Logistic Regression,H,H,0.5176565101368725,0.3828991444616824,0.099444345401445
2020-21,2020-12-20,Tottenham,Leicester,1,2020-21,Tuned Logistic Regression,A,H,0.6582013472361612,0.1692102317568304,0.1725884210070084
2020-21,2020-12-20,West Brom,Aston Villa,1,2020-21,Tuned Logistic Regression,A,A,0.3695938453242552,0.141329612058269,0.4890765426174758
2020-21,2020-12-21,Burnley,Wolves,1,2020-21,Tuned Logistic Regression,H,H,0.3686533616908757,0.2921236396521557,0.3392229986569685
2020-21,2020-12-21,Chelsea,West Ham,1,2020-21,Tuned Logistic Regression,H,H,0.6116289950476326,0.2308074908322247,0.1575635141201427
2020-21,2020-12-26,Arsenal,Chelsea,1,2020-21,Tuned Logistic Regression,H,H,0.3938297002783899,0.2139078415702885,0.3922624581513215
2020-21,2020-12-26,Aston Villa,Crystal Palace,1,2020-21,Tuned Logistic Regression,H,D,0.3309661129927502,0.4669665967112654,0.2020672902959844
2020-21,2020-12-26,Fulham,Southampton,1,2020-21,Tuned Logistic Regression,D,A,0.2467190454543245,0.2592098758900619,0.4940710786556136
2020-21,2020-12-26,Leicester,Man United,1,2020-21,Tuned Logistic Regression,D,A,0.4089864155675551,0.1566382806588562,0.4343753037735886
2020-21,2020-12-26,Man City,Newcastle,1,2020-21,Tuned Logistic Regression,H,H,0.7013133080951122,0.1958446663557493,0.1028420255491385
2020-21,2020-12-26,Sheffield United,Everton,1,2020-21,Tuned Logistic Regression,A,A,0.2995243427982085,0.2126354935060472,0.4878401636957442
2020-21,2020-12-27,Leeds,Burnley,1,2020-21,Tuned Logistic Regression,H,H,0.5785258240640387,0.1795404924047411,0.2419336835312201
2020-21,2020-12-27,Liverpool,West Brom,1,2020-21,Tuned Logistic Regression,D,H,0.915774703861427,0.0663801065975928,0.0178451895409802
2020-21,2020-12-27,West Ham,Brighton,1,2020-21,Tuned Logistic Regression,D,H,0.4795368750002863,0.3005352089478639,0.2199279160518497
2020-21,2020-12-27,Wolves,Tottenham,1,2020-21,Tuned Logistic Regression,D,H,0.4241392823241646,0.2569083913901564,0.318952326285679
2020-21,2020-12-28,Chelsea,Aston Villa,1,2020-21,Tuned Logistic Regression,D,H,0.7179463506365132,0.1503465990980763,0.1317070502654104
2020-21,2020-12-28,Crystal Palace,Leicester,1,2020-21,Tuned Logistic Regression,D,A,0.3539381412299999,0.247027154133717,0.3990347046362829
2020-21,2020-12-29,Brighton,Arsenal,1,2020-21,Tuned Logistic Regression,A,H,0.4384668526007731,0.2116416920714313,0.3498914553277956
2020-21,2020-12-29,Burnley,Sheffield United,1,2020-21,Tuned Logistic Regression,H,H,0.48949170658542,0.3001924397834216,0.2103158536311582
2020-21,2020-12-29,Man United,Wolves,1,2020-21,Tuned Logistic Regression,H,H,0.7129543275914804,0.1908159149358111,0.0962297574727085
2020-21,2020-12-29,Southampton,West Ham,1,2020-21,Tuned Logistic Regression,D,H,0.5761358324133138,0.2326795862732069,0.1911845813134792
2020-21,2020-12-29,West Brom,Leeds,1,2020-21,Tuned Logistic Regression,A,A,0.3777105017018132,0.234611156179119,0.3876783421190676
2020-21,2020-12-30,Newcastle,Liverpool,1,2020-21,Tuned Logistic Regression,D,A,0.038205474447915,0.1653603591190174,0.7964341664330675
2020-21,2021-01-01,Everton,West Ham,1,2020-21,Tuned Logistic Regression,A,H,0.5138678147707664,0.2821533734864254,0.2039788117428083
2020-21,2021-01-01,Man United,Aston Villa,1,2020-21,Tuned Logistic Regression,H,H,0.7225709359910754,0.1777568557962989,0.0996722082126257
2020-21,2021-01-02,Brighton,Wolves,1,2020-21,Tuned Logistic Regression,D,A,0.359307681016604,0.1893564917422858,0.4513358272411101
2020-21,2021-01-02,Crystal Palace,Sheffield United,1,2020-21,Tuned Logistic Regression,H,H,0.5878879828968387,0.2093895368723459,0.2027224802308153
2020-21,2021-01-02,Tottenham,Leeds,1,2020-21,Tuned Logistic Regression,H,H,0.5018285666806288,0.2936382053073361,0.204533228012035
2020-21,2021-01-02,West Brom,Arsenal,1,2020-21,Tuned Logistic Regression,A,A,0.2324458113911103,0.2916156278807382,0.4759385607281514
2020-21,2021-01-03,Chelsea,Man City,1,2020-21,Tuned Logistic Regression,A,H,0.5246423618654396,0.1187989912386631,0.3565586468958974
2020-21,2021-01-03,Newcastle,Leicester,1,2020-21,Tuned Logistic Regression,A,A,0.2511678212621451,0.313212407566485,0.4356197711713698
2020-21,2021-01-04,Southampton,Liverpool,1,2020-21,Tuned Logistic Regression,H,A,0.1357879414030796,0.1716767607807564,0.6925352978161639
2020-21,2021-01-12,Burnley,Man United,1,2020-21,Tuned Logistic Regression,A,A,0.1400834329967514,0.2845893686067589,0.5753271983964897
2020-21,2021-01-12,Sheffield United,Newcastle,1,2020-21,Tuned Logistic Regression,H,H,0.5474590537899022,0.1512231819723094,0.3013177642377883
2020-21,2021-01-12,Wolves,Everton,1,2020-21,Tuned Logistic Regression,A,H,0.5157886810891705,0.1657294369986921,0.3184818819121373
2020-21,2021-01-13,Man City,Brighton,1,2020-21,Tuned Logistic Regression,H,H,0.591452624205116,0.3578313967624664,0.0507159790324176
2020-21,2021-01-13,Tottenham,Fulham,1,2020-21,Tuned Logistic Regression,D,H,0.7961660175335082,0.1210404962821399,0.0827934861843519
2020-21,2021-01-14,Arsenal,Crystal Palace,1,2020-21,Tuned Logistic Regression,D,H,0.6336946811062392,0.2172290954038887,0.1490762234898721
2020-21,2021-01-16,Fulham,Chelsea,1,2020-21,Tuned Logistic Regression,A,D,0.2916848380305263,0.3717128365785015,0.3366023253909722
2020-21,2021-01-16,Leeds,Brighton,1,2020-21,Tuned Logistic Regression,A,H,0.4372110393402484,0.345700964362293,0.2170879962974585
2020-21,2021-01-16,Leicester,Southampton,1,2020-21,Tuned Logistic Regression,H,H,0.6150910342153737,0.2055095882228214,0.1793993775618047
2020-21,2021-01-16,West Ham,Burnley,1,2020-21,Tuned Logistic Regression,H,H,0.6384293587701211,0.1537459961752612,0.2078246450546178
2020-21,2021-01-16,Wolves,West Brom,1,2020-21,Tuned Logistic Regression,A,H,0.8053104018990452,0.0983330649041066,0.0963565331968481
2020-21,2021-01-17,Liverpool,Man United,1,2020-21,Tuned Logistic Regression,D,H,0.7464071848409035,0.1135681153661005,0.140024699792996
2020-21,2021-01-17,Man City,Crystal Palace,1,2020-21,Tuned Logistic Regression,H,H,0.648408126594978,0.2627622001492764,0.0888296732557455
2020-21,2021-01-17,Sheffield United,Tottenham,1,2020-21,Tuned Logistic Regression,A,A,0.2802159922631486,0.1435727925723536,0.5762112151644977
2020-21,2021-01-18,Arsenal,Newcastle,1,2020-21,Tuned Logistic Regression,H,H,0.6629675341259806,0.1554187401671242,0.1816137257068951
2020-21,2021-01-19,Leicester,Chelsea,1,2020-21,Tuned Logistic Regression,H,H,0.6354730466982759,0.1831190682194073,0.1814078850823167
2020-21,2021-01-19,West Ham,West Brom,1,2020-21,Tuned Logistic Regression,H,H,0.7347871999777154,0.1612772798457935,0.103935520176491
2020-21,2021-01-20,Fulham,Man United,1,2020-21,Tuned Logistic Regression,A,A,0.1216098754755452,0.1940690181296524,0.6843211063948024
2020-21,2021-01-20,Man City,Aston Villa,1,2020-21,Tuned Logistic Regression,H,H,0.7694455918740084,0.1474426619718396,0.0831117461541518
2020-21,2021-01-21,Liverpool,Burnley,1,2020-21,Tuned Logistic Regression,A,H,0.9132587277055554,0.0557933383362978,0.0309479339581468
2020-21,2021-01-23,Aston Villa,Newcastle,1,2020-21,Tuned Logistic Regression,H,H,0.4764108383829064,0.4173738399977957,0.1062153216192978
2020-21,2021-01-26,Crystal Palace,West Ham,1,2020-21,Tuned Logistic Regression,A,H,0.4271479679348129,0.2683129620936246,0.3045390699715624
2020-21,2021-01-26,Newcastle,Leeds,1,2020-21,Tuned Logistic Regression,A,H,0.5003736138799658,0.1976029589119243,0.3020234272081099
2020-21,2021-01-26,Southampton,Arsenal,1,2020-21,Tuned Logistic Regression,A,D,0.2951175399563006,0.4015898842588448,0.3032925757848546
2020-21,2021-01-26,West Brom,Man City,1,2020-21,Tuned Logistic Regression,A,A,0.0965245924064155,0.1588690487633048,0.7446063588302797
