Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2020-21,2020-11-22,Leeds,Arsenal,1,2020-21,Independent Poisson,D,H,0.4050358027026949,0.2522802834217744,0.3426839138755307
2020-21,2020-11-22,Liverpool,Leicester,1,2020-21,Independent Poisson,H,H,0.8053024715034127,0.1278999969356575,0.0667975315609295
2020-21,2020-11-22,Sheffield United,West Ham,1,2020-21,Independent Poisson,A,H,0.4052376782846227,0.2593058065433919,0.3354565151719855
2020-21,2020-11-23,Burnley,Crystal Palace,1,2020-21,Independent Poisson,H,H,0.4612662024410741,0.2729001501632419,0.2658336473956841
2020-21,2020-11-23,Wolves,Southampton,1,2020-21,Independent Poisson,D,H,0.4012087301993807,0.2578949000373995,0.3408963697632198
2020-21,2020-11-27,Crystal Palace,Newcastle,1,2020-21,Independent Poisson,A,H,0.4789610479732874,0.253904910432397,0.2671340415943154
2020-21,2020-11-28,Brighton,Liverpool,1,2020-21,Independent Poisson,D,A,0.0792332956542992,0.1306027073281962,0.7901639970175043
2020-21,2020-11-28,Everton,Leeds,1,2020-21,Independent Poisson,A,H,0.5888389592271516,0.2281747373577593,0.182986303415089
2020-21,2020-11-28,Man City,Burnley,1,2020-21,Independent Poisson,H,H,0.7670657542581625,0.1482428992864066,0.0846913464554306
2020-21,2020-11-28,West Brom,Sheffield United,1,2020-21,Independent Poisson,H,H,0.3818879480987071,0.2809075605345169,0.3372044913667762
2020-21,2020-11-29,Arsenal,Wolves,1,2020-21,Independent Poisson,A,H,0.458029540703628,0.2545585502784107,0.2874119090179611
2020-21,2020-11-29,Chelsea,Tottenham,1,2020-21,Independent Poisson,D,H,0.5490511191326658,0.2309584731774242,0.2199904076899101
2020-21,2020-11-29,Southampton,Man United,1,2020-21,Independent Poisson,A,H,0.4269466375569501,0.2394742864760389,0.3335790759670109
2020-21,2020-11-30,Leicester,Fulham,1,2020-21,Independent Poisson,A,H,0.7139757290564794,0.1876812768813878,0.0983429940621327
2020-21,2020-11-30,West Ham,Aston Villa,1,2020-21,Independent Poisson,H,H,0.5835343655252996,0.2219322685630445,0.1945333659116557
2020-21,2020-12-05,Burnley,Everton,1,2020-21,Independent Poisson,D,H,0.3975981494571629,0.2637818236044603,0.3386200269383769
2020-21,2020-12-05,Chelsea,Leeds,1,2020-21,Independent Poisson,H,H,0.7172553493144349,0.1726850231315359,0.1100596275540292
2020-21,2020-12-05,Man City,Fulham,1,2020-21,Independent Poisson,H,H,0.7765335804213415,0.1506648648396983,0.0728015547389601
2020-21,2020-12-05,West Ham,Man United,1,2020-21,Independent Poisson,A,A,0.3170197690579943,0.2446821343494128,0.4382980965925926
2020-21,2020-12-06,Liverpool,Wolves,1,2020-21,Independent Poisson,H,H,0.7858461607166574,0.1408567905358814,0.0732970487474611
2020-21,2020-12-06,Sheffield United,Leicester,1,2020-21,Independent Poisson,A,H,0.3956733485617626,0.2641863353614506,0.3401403160767868
2020-21,2020-12-06,Tottenham,Arsenal,1,2020-21,Independent Poisson,H,H,0.6738799280465683,0.1933176935472484,0.1328023784061833
2020-21,2020-12-06,West Brom,Crystal Palace,1,2020-21,Independent Poisson,A,H,0.3808167721620272,0.2764336341169643,0.3427495937210084
2020-21,2020-12-07,Brighton,Southampton,1,2020-21,Independent Poisson,A,A,0.3547703424159102,0.2614428890910558,0.383786768493034
2020-21,2020-12-11,Leeds,West Ham,1,2020-21,Independent Poisson,A,H,0.4724681909151889,0.2464458731682237,0.2810859359165873
2020-21,2020-12-12,Everton,Chelsea,1,2020-21,Independent Poisson,H,A,0.2059397562896875,0.2264112759919369,0.5676489677183756
2020-21,2020-12-12,Man United,Man City,1,2020-21,Independent Poisson,D,A,0.3412461654499051,0.266100132235638,0.3926537023144567
2020-21,2020-12-12,Newcastle,West Brom,1,2020-21,Independent Poisson,H,H,0.5998620457591202,0.2527167242291628,0.1474212300117171
2020-21,2020-12-12,Wolves,Aston Villa,1,2020-21,Independent Poisson,A,H,0.5208593175884502,0.228437225819914,0.2507034565916358
2020-21,2020-12-13,Arsenal,Burnley,1,2020-21,Independent Poisson,A,H,0.5909166030433994,0.2199197208386836,0.1891636761179173
2020-21,2020-12-13,Crystal Palace,Tottenham,1,2020-21,Independent Poisson,D,A,0.2116437653189258,0.2212129366554581,0.5671432980256159
2020-21,2020-12-13,Fulham,Liverpool,1,2020-21,Independent Poisson,D,A,0.0179581620134535,0.0469139863507098,0.9351278516358366
2020-21,2020-12-13,Leicester,Brighton,1,2020-21,Independent Poisson,H,H,0.5899856970484932,0.2302873700244296,0.1797269329270772
2020-21,2020-12-13,Southampton,Sheffield United,1,2020-21,Independent Poisson,H,H,0.6413964204563823,0.2130043397371298,0.1455992398064879
2020-21,2020-12-15,Man City,West Brom,1,2020-21,Independent Poisson,D,H,0.8424470670502542,0.1174798118431614,0.0400731211065845
2020-21,2020-12-15,Wolves,Chelsea,1,2020-21,Independent Poisson,H,A,0.3115270781899911,0.2401263602816517,0.4483465615283571
2020-21,2020-12-16,Arsenal,Southampton,1,2020-21,Independent Poisson,D,A,0.3335281290372025,0.2631678569917911,0.4033040139710062
2020-21,2020-12-16,Fulham,Brighton,1,2020-21,Independent Poisson,D,H,0.4167209064493624,0.2647336984245914,0.3185453951260461
2020-21,2020-12-16,Leeds,Newcastle,1,2020-21,Independent Poisson,H,H,0.4449813355167733,0.2484531697608344,0.3065654947223923
2020-21,2020-12-16,Leicester,Everton,1,2020-21,Independent Poisson,A,H,0.6572407071827249,0.2115311618192103,0.1312281309980647
2020-21,2020-12-16,Liverpool,Tottenham,1,2020-21,Independent Poisson,H,H,0.6695493007055087,0.1837104922600498,0.1467402070344415
2020-21,2020-12-16,West Ham,Crystal Palace,1,2020-21,Independent Poisson,D,A,0.2876813493385629,0.2482190042182863,0.4640996464431508
2020-21,2020-12-17,Aston Villa,Burnley,1,2020-21,Independent Poisson,D,H,0.4633894821906763,0.2851503108515167,0.2514602069578069
2020-21,2020-12-17,Sheffield United,Man United,1,2020-21,Independent Poisson,A,A,0.287797422909185,0.2435789745656572,0.4686236025251576
